,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-28 02:30:22,1,0,Twitter Web Client,253,1,"So, for my data mining class at @calpolypomona I'm learning twitter data analysis. 
That home run by Puig happened at exactly 7:12:37 PM and generated 
1,535 tweets in the first 60 seconds. 
#python #tweepy #DataScience  #WorldSeries PUIG YOUR FRIEND!!!"
1,2018-10-27 22:19:12,0,0,Twitter Web Client,277,1,Review of LA Social Cafe https://t.co/XiD6nZny7H #PlazaWestCovina #Altadena #Pasadena #Alhambra #Rosemead #Arcadia #ElMonte #Monrovia #BaldwinPark #CityofIndustry #Whittier #HaciendaHeights #RowlandHeights #Azusa #Covina #Walnut #Glendora #MtSAC #calpolypomona #CVHPHEALTH #nba
2,2018-10-27 22:18:46,0,0,Twitter Web Client,277,1,Review of LA Social Cafe https://t.co/iQQWSsIFsc #PlazaWestCovina #Altadena #Pasadena #Alhambra #Rosemead #Arcadia #ElMonte #Monrovia #BaldwinPark #CityofIndustry #Whittier #HaciendaHeights #RowlandHeights #Azusa #Covina #Walnut #Glendora #MtSAC #calpolypomona #CVHPHEALTH #nba
3,2018-10-27 22:12:50,1,0,Twitter Web Client,280,1,Review of LA Social Cafe on https://t.co/bXAuuBkL9g #PlazaWestCovina #Altadena #Pasadena #Alhambra #Rosemead #Arcadia #ElMonte #Monrovia #BaldwinPark #CityofIndustry #Whittier #HaciendaHeights #RowlandHeights #Azusa #Covina #Walnut #Glendora #MtSAC #calpolypomona #CVHPHEALTH #nba
4,2018-10-27 20:10:49,0,1,TweetDeck,301,1,"Do you have an existing water feature you can highlight instead of just deal with? 

New drought-tolerant native garden with swale at Cal Poly Pomona 

https://t.co/zqFR4kxln7

#garden #gardening #landscape #Design #nature #College #Campus #CalPolyPomona #NativePlants #Natives https://t.co/4Oj9cD35M5"
5,2018-10-27 17:03:45,6,2,Twitter for iPhone,258,1,"Tonight is Senior Night and Rosie’s last game! Talk about #LeaveYourLegacy! @CPPVB plays like they love, trust, and believe in each other and their coaches. Let’s send this group of talented people out in style! 7pm tonight. Be there! https://t.co/0xyZQ5ghQe"
6,2018-10-27 13:16:18,1,0,Twitter Lite,294,0,@BYDCompany @calpolypomona @WTSLosAngeles Congratulations to Esther! And hats-off to BYD for promoting #WomenInTransport. Looking forward to driving franchise opportunties for women using electric cabs with you in South Africa! @BYDCompany @bhelekazi_86 @womeninmobility https://t.co/UnbHW0aVi3
7,2018-10-27 05:02:50,2,0,Twitter for iPhone,109,1,Such a great experience @PedroANoguera @calpolypomona #proud2bePUSD #deckermakeswaves https://t.co/LGYGnUuAW5
8,2018-10-27 04:41:23,0,0,Twitter for iPhone,97,1,.@sustainableBU check this out - at @calpolypomona - fossil-free brewing! https://t.co/DjyoQnc8RF
9,2018-10-27 03:55:36,0,0,Twitter for iPhone,157,0,@SenatorLeyva @calpolypomona @Fairplex @CityofChinoGov Hey! Did you get my tweets about how @Omnitrans is negligently promoting violence in my neighborhood??
10,2018-10-27 03:36:47,13,5,Twitter for Android,232,1,"Had a great time at my Annual Fall Open House. Thank you to everyone that attended. Special thanks to @calpolypomona, @Fairplex, @CityofChinoGov and #ChinoValleyProfessionalFirefighters for your support #SD20 https://t.co/p8mLRRRlAz"
11,2018-10-27 03:22:10,1,0,Twitter Web Client,135,-1,"I just got a letter from @calpolypomona saying I have a $85 overdue on my account... i DON'T EVEN GO THERE.
LKFJDBGOIAUD wha the fuck 🙃"
12,2018-10-27 01:47:31,3,0,Twitter for iPhone,55,0,@calpolypomona @cppbroncos @CPPVB Rosie is a class act!
13,2018-10-27 01:30:52,1,0,Facebook,231,1,"#tbt to National Red Wine Day! If you didn’t know, Horsehill Wine is a product of @calpolypomona and available for sale @rkr_cpp #thecollinscollege #gourmet #redwine #zinfandel #redzin #lovetodrink @ The Restaurant at Kellogg Ranch"
14,2018-10-27 01:28:54,0,0,Instagram,209,1,Annual @cbacpp #Halloween party! What awesome costumes!!!! 🎃☠️💀👻@calpolypomona #halloweencostume #college #calpolypomona #imready #collegeofbusinessadministration @ College of Business… https://t.co/cpgPkq4yUl
15,2018-10-27 00:56:00,1,0,Facebook,278,1,Ready to rock n’ roll through their last day of #managementweek @rkr_cpp #peace #lovetocook #photography #thecollinscollege #calpolypomona #freshfood #chefschool #california #restaurantlife #studentchefs #duces #foodie #foodgram #famous #rkrcpp @ The Restaurant at Kellogg Ranch
16,2018-10-27 00:53:08,1,0,Twitter Web Client,310,1,Tony Brown &amp; Mitch Moore saw a familiar face today at the @calpolypomona campus. #HOLAalumni Isaac is a senior studying Landscape Architecture &amp; Environmental Design. He heard about the collaborative work by fellow students in imagining an entry way for our iconic new building. https://t.co/JGtk3avvff
17,2018-10-27 00:08:04,3,0,Twitter for iPhone,50,1,@calpolypomona @cppbroncos @CPPVB One of the best!
18,2018-10-26 23:56:27,3,0,Twitter for iPhone,191,1,Congrats to Coach Wegrich on 27 years at @cppbroncos + 17 years in DI (@GopherSports &amp; @AZATHLETICS). What an amazing legacy of leadership...‼️ #GoCCAA #CSUsuccess https://t.co/Enn4dYC57L
19,2018-10-26 23:33:24,50,10,Twitter Web Client,262,1,"Coach Rosie Wegrich is retiring after 27 years as head coach of the @cppbroncos volleyball team. 🏐 🐎 

Don’t miss her last home games tonight and tomorrow at 7 p.m. in the Kellogg Arena. @CPPVB 

More details here: https://t.co/dEDl9DQUe6 https://t.co/ohi4GfnnWZ"
20,2018-10-26 23:03:05,6,2,Twitter for iPhone,176,0,Mr. Windmiller chaperoned @WestValleyBARR freshmen today @calpolypomona to learn about the numerous AG degree pathways! #Husdpremier #collegecareerready https://t.co/EkM84V5iky
21,2018-10-26 22:30:02,2,0,Twitter for iPhone,235,0,@CPPAdaptedPE @ThePolyPost @calpolypomona Go get them you guys! Who knows some of them might do biomechanical research someday to improve equipment and training for athletes! Or have students in their classes who require mobility aids.
22,2018-10-26 20:36:41,3,0,Instagram,210,-1,Pumped to be providing future #kinesiologist with a wide array of #disability #knowledge. cpp_kinesiology @thepolypost @calpolypomona cpp_drc #wheelchair #adaptedsports #adaptiveathlete… https://t.co/fwOozMVYTq
23,2018-10-26 18:30:23,2,0,Twitter for Android,132,1,Join @cppceiscouncil for free ICE CREAM🍨on TUESDAY! 🎃 #icecreamsocial #Halloween #mixer #CEIS #calpolypomona https://t.co/2jycBshqWs
24,2018-10-26 17:31:49,0,0,Facebook,147,1,"OUR NEW ZIP-UP HOODIES ARE IN~
Just in time for sweater weather!
#newmerch #calpolypomona #brewerymerch #sosoft #ibrewworks https://t.co/C6TumHEHjf"
25,2018-10-26 17:11:01,1,1,Twitter Web Client,223,1,"@SocialQueenDar @calpolypomona Hello, @SocialQueenDar! We see that you're excited about Halloween and would like we'd like to send a spooktacular surprise your way to celebrate it. Send us a direct message for more details."
26,2018-10-26 17:07:42,5,0,Twitter Web Client,237,1,"Happy #NationalPumpkinDay 🎃 ! Have you picked out a pumpkin from the CPP Pumpkin Patch yet? @CPPAgri @CPPAgriscapes

Check out what's happening on the LAST weekend of the Pumpkin Fest here: https://t.co/HIuNBrRQi4 https://t.co/5Gw9SCQ9OA"
27,2018-10-26 16:46:07,0,0,Twitter Web Client,258,1,Hey @calpolypomona! Kittelson will be visiting your school on Oct 30 and presenting to @ITECPP and @WTSCPP. We're excited to meet students and talk about careers in transportation! Interested students can sign up here: https://t.co/zkstz5kbYV @cppengineering
28,2018-10-26 14:54:54,1,0,Instagram,213,1,Set and ready to go for #assessment of fundamental #motorskills with the #TGMD #CalPoly #calpolypomona #cpp #adaptedpe #physicaleducation #adaptedphysicaleducation #adaptedphysicalactivity… https://t.co/ahL1syanLr
29,2018-10-26 07:04:10,0,0,Twitter for iPhone,72,0,@SuperDuperJefff @calpolypomona Off all the tweets to tag em under 🤦🏽‍♂️
30,2018-10-26 07:03:38,0,0,Twitter for iPhone,70,-1,@phantomforlife @calpolypomona is there a podcast due for Denny tmr???
31,2018-10-26 06:56:19,3,0,Twitter for Android,46,1,@calpolypomona Ohh that's very good to hear XD
32,2018-10-26 05:01:43,0,0,Twitter for iPhone,130,1,Love this teacher collaboration @OfficialNGSS @calpolypomona #RESPECTgrant #proud2bePUSD #deckermakeswaves https://t.co/2cllQcb5D9
33,2018-10-26 04:57:52,6,2,Twitter for Android,301,1,Thank you SO much to everyone who came to our workshop tonight! We could not have done it without you. We greatly and truly appreciate your time and work supporting our students!  @ChaffeyHSTigers @ULaVerne  @chaffeycollege @IE_Cash4College @calpolypomona @OMSD_omsd @CSUSBNews https://t.co/ShnpSx8I9N
34,2018-10-26 04:45:29,1,0,Twitter Lite,173,1,"Big thx to @MendocinoFarms for the Ggl Hangout w/my @calpolypomona consumer behavior class! Love Mendo, even closer now w/new #Pasadena store. #teaching #marketing #highered"
35,2018-10-26 04:01:27,0,0,Twitter Web Client,48,0,@TwitterU @calpolypomona @Hummmmmbaby Thank You!
36,2018-10-26 04:01:14,7,0,Twitter for iPhone,64,0,Yeah but you’ll also be here for 7 years https://t.co/fk1LFScVEv
37,2018-10-26 03:08:39,3,0,Twitter for iPhone,155,1,@wbishop_3 @ChrisAsa1 @cppwbb @CPPMBB @calpolypomona @ASICPP No live stream. Can’t let our opponents know who our best dunker is going to be this season...
38,2018-10-26 03:06:54,1,0,Twitter for iPhone,83,0,@ChrisAsa1 @cppbroncos @cppwbb @CPPMBB @calpolypomona @ASICPP Are you streaming it?
39,2018-10-26 02:59:27,1,0,Twitter for iPhone,202,1,@cppbroncos students. This is an all-call to make sure you’re at Kellogg Arena at 9 tonight for @cppwbb and @CPPMBB Bronco Madness. 3 point and dunk contests! #LeaveYourLegacy CC: @calpolypomona @ASICPP
40,2018-10-26 01:45:03,6,0,Twitter for iPhone,63,1,Proud to serve @calstate @calpolypomona https://t.co/ECTcgQTT0c
41,2018-10-26 01:28:45,6,1,Twitter for Android,157,1,What a great Cybersecurity &amp; Awareness event by @cppcyberfair Met lots of future cyberninjas! #calpolypomona #womenincyber #socal https://t.co/AUimC6ZBFI
42,2018-10-26 00:32:41,4,0,Twitter Web Client,176,1,Was honored to hear the talented @SyCStokes performing today in the @CPP_BSC @calpolypomona. Thanks to the @AASC_CPP A full house!!!! Phenomenal.#cppews https://t.co/oTUl6WQrqC
43,2018-10-26 00:02:48,0,0,Facebook,254,1,Great day @rkr_cpp for these two during their #managementweek #proud#students #leaders #smile #goodjob #hardwork #motivation #determination #learnbydoing #thecollinscollege #calpolypomona #foodie #foodgram #reblog #insta @ The Restaurant at Kellogg Ranch
44,2018-10-25 23:40:01,0,0,Hootsuite Inc.,233,1,"@Superman63111 Hi Jesus! The Cesar E. Chavez Center on campus would be happy to talk with you. Contact them at CesarEChazezCtr@cpp.edu or visit them at the center located in building 95, room L100 (near the career center). Good luck!"
45,2018-10-25 23:09:10,0,0,Twitter for iPhone,120,-1,@calpolypomona do you guys have any resources on campus that could help me with building an ofrenda for day of the dead?
46,2018-10-25 22:38:42,87,31,Twitter Web Client,239,1,"CPP is ranked No. 3 in the nation among the universities that help low income students find financial success after graduation, according to the 2018 Social Mobility Index. 

Read more here:  https://t.co/GXeg2PsNzq https://t.co/JVG4bo9jez"
47,2018-10-25 21:05:26,2,1,Instagram,207,1,There’s so many pumpkins left at @calpolypomona’s pumpkin patch! They’re all going for $5 bucks. I found 4 really cool looking ones I’m excited to carve with my kids. Got any pumpkin… https://t.co/ixmVjgJqAu
48,2018-10-25 20:43:11,7,0,Twitter for iPhone,69,0,Only took me 50 minutes to find parking @calpolypomona!! Record time.
49,2018-10-25 20:19:05,4,3,CoSchedule,175,1,We are excited to see the progress on the @calpolypomona Student Services Building – on track to open in January 2019. Read @ThePolyPost to learn more! https://t.co/dq5klPJmUp
50,2018-10-25 20:08:02,0,0,TweetDeck,151,-1,@ddog1999 @calpolypomona Hey! We're really sorry that you're frustrated with registration. We can help you troubleshoot and strategize -- send us a DM.
51,2018-10-25 19:47:51,0,0,Twitter for iPad,29,0,@waltsprd @calpolypomona Same
52,2018-10-25 17:17:57,2,0,Twitter for iPhone,280,1,"ARO 1021L, PHY 1510 and 1510L, all core classes, and even more GE courses all filled up days before my registration date. How are staggered registration dates even fair to half to students??? Does @calpolypomona not thinks it's fucked up if half the students can't get a class?!?!"
53,2018-10-25 17:13:22,3,0,Twitter for iPhone,168,-1,Late registration periods can go fuck themselves. Classes with more sections of lecture than the required lab can go fuck themselves. @calpolypomona can go fuck itself.
54,2018-10-25 16:24:08,0,0,Twitter for iPhone,144,0,And we’re off at Southern California’s 30th Annual Visitor Industry Outlook Conference! #CBREHotels #CBRE #CalPolyPomona https://t.co/j0DYMLyyiW
55,2018-10-25 16:17:21,0,0,Twitter Web Client,181,1,We love hearing about CPP students on their international experiences! So glad to be part of a campus that welcomes diversity! #cppstudyabroad #calpolypomona https://t.co/rYrGPF1KFW
56,2018-10-25 15:54:51,10,2,Twitter Web Client,238,1,. @cppenv Architecture student Stephanie Contreras studied in Japan and China this summer through @CPPStudyAbroad! She shared these incredible pictures with us. Where you would want to travel for #CPPStudyAbroad? 🌍 https://t.co/NNePxpSXfT
57,2018-10-25 14:43:36,2,0,Twitter for iPhone,139,1,"Hey, where did @calpolypomona go? Lol. Lots of fog this cool, fall morning!! #college #calpolypomona #fog #personal https://t.co/4gCZjTsvjq"
58,2018-10-25 05:19:25,0,0,Twitter Web Client,69,0,@calpolypomona @cppenv @CBACPP @cppengineering @CPPAgri agriculture/@
59,2018-10-25 00:39:37,2,0,Twitter for Android,161,1,"@ClassCpp co-sponsored LA Escena, the first Hispanic Classical Theather festival of LA. @LAEscenaLA @calpolypomona Read more #Thepolypost https://t.co/tFiPzHD5ln"
60,2018-10-25 00:29:55,2,0,Twitter for Android,138,0,👏👏#Pomonavalleyreview interview with #Thepolypost @ClassCpp @calpolypomona featuring Ryan Leack and Amanda Riggle 👏https://t.co/vS6WrKJ8TN
61,2018-10-24 23:59:26,0,0,Hootsuite Inc.,212,-1,@Losthope7777 Hi sorry for the late response. A great resource for enrollment questions is the CPP BAC https://t.co/kJNR4tZYaS while mental health counseling services can be found be here: https://t.co/FRzrkjQs4S
62,2018-10-24 23:52:51,1,0,Twitter Web Client,268,1,"@_PaigeRios We are currently working on culinary projects to enhance the Saddles and Fresh Escape concepts to include additional vegan and healthier options.

Please don't hesitate to send us a direct message on Instagram @CppDining for further questions you may have."
63,2018-10-24 23:52:29,1,0,Twitter Web Client,288,1,"@_PaigeRios Check out the following: 

•Poly Fresh (prominently vegan), and Pony Express 
•Vista Market (Has about 40 percent vegan-approved items from the Students for a Sustainable Future, A CPP Organization) 
•Los Olivos serves 8 daily vegan stations and host an annual Las Vegan event"
64,2018-10-24 23:51:44,1,0,Twitter Web Client,191,1,"@_PaigeRios Thank you for the question about our vegetarian, vegan and gluten free options on campus. We are currently in the process of creating strategies to further promote these products."
65,2018-10-24 23:51:16,1,0,Twitter Web Client,206,1,"@_PaigeRios Hi Paige. Saddles Cafe, Qdoba, Los Olivos, Subway, Hibachi San, the Vista Market, and more all have healthier options available. Contact @cppdining if you have any questions. Have a great night!"
66,2018-10-24 23:48:34,0,0,Twitter Web Client,104,1,"@Tweetering_ @PresColeyCPP @ASICPP Thanks again for your question, Alex. Have a good rest of your night."
67,2018-10-24 23:46:45,0,0,Twitter Web Client,98,0,@LoveDaniBoo If you have any questions for BEAT you can contact them at beat@cpp.edu.  @asicppbeat
68,2018-10-24 23:46:32,0,0,Twitter Web Client,252,0,"@LoveDaniBoo BEAT does often partner up with different clubs and organizations to put on programs and can provide assistance through those means. If you would like programming experience, you can apply for a position in BEAT at https://t.co/lEGKPTGRmY."
69,2018-10-24 23:46:16,0,0,Twitter Web Client,217,1,@LoveDaniBoo ASI BEAT is a programming body in ASI that puts on events for students to enjoy throughout the year. Its intention is not to provide financial assistance to anyone but rather to plan and implement events.
70,2018-10-24 23:44:39,0,0,Twitter Web Client,229,-1,"@LoveDaniBoo CLASS students may want to schedule an appointment with David Craig, a Career Counselor, in the Career Center. David is liaison to CLASS. For additional information contact Tom Munnerlyn, director, @CPPCareerCenter ."
71,2018-10-24 23:44:08,0,0,Twitter Web Client,249,1,"@LoveDaniBoo Moreover, the Career Center is happy to partner with students and student groups to discuss the possibility of an entertainment Career Fair. There are a number of entertainment organizations that attend the fall and spring career fairs."
72,2018-10-24 23:43:42,0,0,Twitter Web Client,225,1,"@LoveDaniBoo The Education and Non-Profit Job Fair is on Feb. 28, 2019. This event is open to all students and attracts organizations such as the City of Los Angeles and other large cities and counties in Southern California."
73,2018-10-24 23:43:26,0,0,Twitter Web Client,180,1,"@LoveDaniBoo Additionally, the Career Center hosts several industry-focused fairs. While these are more targeted to certain career sectors, they are open to all students to attend."
74,2018-10-24 23:42:58,0,0,Twitter Web Client,291,1,"@LoveDaniBoo The Career Center hosts 8 major career fairs each year, including the Fall All Majors Career Fair and Spring Career Fair. These events attract a wide variety of organizations. The fall 2018 Career Fair had 125 organizations and the Spring Career Fair 2018 had 235 organizations."
75,2018-10-24 23:41:35,0,0,Twitter Web Client,267,1,"@LoveDaniBoo At each of these events, Music Industry Studies students were present and supported by the president. The music department and CLASS find President Coley to be an advocate for all music students and we are thrilled to have her support many of our events."
76,2018-10-24 23:40:56,0,0,Twitter Web Client,268,0,"@LoveDaniBoo For her Investiture, President Coley requested that a choir be a part of the ceremony. Recently, she engaged Professor Kopplin and members of the music department (both students and faculty) at Fall Conference in presenting the sequel to “Semester Blues.”"
77,2018-10-24 23:40:34,0,0,Twitter Web Client,232,1,"@LoveDaniBoo The band loved having the president as conductor and she engaged in a meaningful dialogue with band students and Professor Badua, who leads the band. Many of the students in the band are Music Industry Studies students."
78,2018-10-24 23:40:17,0,0,Twitter Web Client,273,1,"@LoveDaniBoo She regularly attends music’s events and concerts and in fact, has attended rehearsals for the Wind Ensemble and conducted the band in concert. This is an extraordinary feat for someone who is incredibly busy and, quite frankly, is not a professional musician."
79,2018-10-24 23:39:57,0,0,Twitter Web Client,284,1,"@LoveDaniBoo Upon coming to CPP, President Coley revealed that she had a strong interest in music. She met many students (performance, music industry and music education students) in her first months on campus, as she was introduced to the investment made for the Steinway Initiative."
80,2018-10-24 23:39:28,0,0,Twitter Web Client,271,0,"@LoveDaniBoo Regarding President Coley’s assistance to students in the Music Industry Studies program (It is not a Music Business program, but rather a Music Industry Studies program), please allow me to inform you about President Coley’s support of the music department."
81,2018-10-24 23:38:10,0,0,Twitter Web Client,304,1,"@Tweetering_ @PresColeyCPP @ASICPP We expanded the overflow lot by 300 spaces and increased the shuttles by 30 percent to that route. Working with the Master Plan Committee, we are examining the flow of traffic, future parking locations, and how it all connects and complements the new semester schedule."
82,2018-10-24 22:24:21,1,0,Twitter Web Client,269,1,"Client @COArchitectsLA was inspired by the nearby #SanGabrielMountains and foothills in designing the undulating, standing-seam aluminum roof of the @calpolypomona Student Services Building. Check out the #construction LIVE on @YouTube! 

Link: https://t.co/RWBC85dTej."
83,2018-10-24 22:00:23,3,0,Twitter Web Client,222,1,"Every Wednesday on our Instagram Story, we talk about three things @calpolypomona students need to know. This week, we talk about enrollment limits, the Learning Resource Center and staying healthy. https://t.co/woTnTUKXa4"
84,2018-10-24 21:33:28,0,0,Twitter Web Client,169,0,@ryneches @whereisdaz I had planned to take the CHEM glassblowing class at @calpolypomona ; it was still listed in the catalog but hadn't been taught in years. Boo hiss.
