,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-28 03:59:06,1,0,Twitter for iPhone,73,0.0,I’ve never agreed with Donald trump before but... https://t.co/zAtf4mI2r4
1,2018-10-28 03:59:06,0,0,Twitter for iPhone,244,0.40714285714285714,"What can we be fairly certain of, regarding the president’s comments about the shooting in my neighborhood today?
1. Jews aren’t shooting up their own synagogues.
2. Donald Trump is, will be and always has been an outright asshole.
3. repeat 2."
2,2018-10-28 03:59:04,0,0,Twitter Web Client,92,0.0,"not that it matters, but this tweet was not written by Donald Trump. https://t.co/wCSeexpcEx"
3,2018-10-28 03:59:04,0,0,Twitter Web Client,141,0.0,"@realDonaldTrump @SecretService #rickwilson
Rick Wilson says ""They're going to have to put a bullet in Donald Trump"".
https://t.co/UZPSU84dZb"
4,2018-10-28 03:59:03,0,0,Twitter Web Client,81,0.0,This will be the one and only time I retweet Donald Trump https://t.co/Uck9IskXb6
5,2018-10-28 03:59:01,0,0,Twitter Web Client,129,0.1595238095238095,Alt-right social media site Gab in meltdown mode after Pittsburgh shooting -- begs Donald Trump to 'ACT!' https://t.co/VxiLRrJIHY
6,2018-10-28 03:59:00,0,0,Twitter for Android,83,0.0,Blue Jays Central with Jamie Campbell &amp; Donald Trump 😤😤 https://t.co/f7eMqHacsi
7,2018-10-28 03:59:00,0,0,Facebook,111,-0.6,"Trump is lying to scare voters. Migrant caravan families are desperate, not terrorists. https://t.co/YMQ4srJMBa"
8,2018-10-28 03:58:57,0,0,Facebook,50,0.0,Donald J. Trump on Twitter https://t.co/ZnaigqQSJ8
9,2018-10-28 03:58:55,9,1,Twitter for iPhone,132,0.15,Why does this look like Donald Trump is about to drop his biopic with the most rap hip-hop heavy soundtrack? https://t.co/1aL13q0VNO
10,2018-10-28 03:58:54,0,0,Twitter for iPhone,99,0.0,@benmaller @realDonaldTrump Socks in friends with Donald Trump. Here comes the Los Angeles Dodgers.
11,2018-10-28 03:58:52,0,0,Twitter for iPhone,58,0.0,Even Donald Trump can see that 56’s govt is a sinking ship
12,2018-10-28 03:58:49,0,0,Twitter for iPhone,191,0.0,"“Along came the presidential campaign of Donald Trump, who welcomed all extremists, all outsiders, all outliers, and he felt that somebody was finally talking to him.” https://t.co/XMlWe76OID"
13,2018-10-28 03:58:48,0,0,Twitter Web Client,174,0.275,"""We must show the world that as Americas we are united in peace and love and harmony,"" said Trump, apparently excepting George Soros. https://t.co/uysFG4S6Rl via @HuffPostPol"
14,2018-10-28 03:58:46,0,0,Facebook,80,0.0,Robert De Niro issues warning to Donald Trump supporters https://t.co/icSRp7CutO
15,2018-10-28 03:58:42,0,0,Hootsuite Inc.,90,0.0,"I would like to see Donald Trump's reaction to that Kike Home Run

https://t.co/MPav2PkGIk"
16,2018-10-28 03:58:39,0,0,Twitter for iPhone,71,0.3333333333333333,That Donald Trump tweet has me super conflicted https://t.co/xIguaeCg5O
17,2018-10-28 03:58:32,0,0,Twitter for iPhone,76,0.5,Donald Trump still a better manager than Aaron Boone https://t.co/D9cxgqJ9dq
18,2018-10-28 03:58:32,0,1,Twitter for Android,85,1.0,@realDonaldTrump Donald Trump is the greatest president in the United States history!
19,2018-10-28 03:58:32,0,0,Twitter for iPhone,106,0.15,"Donald, motherfucking, piece of shit, Trump is a better manager than Dave Roberts. https://t.co/tqiGba49qH"
20,2018-10-28 03:58:30,0,0,Twitter for iPad,164,0.0,"‘Riling Up the Crazies’, via @nytimes
This is what America gets when someone like ⁦@realDonaldTrump⁩ steals an election with #Putin ‘s help. https://t.co/gGVtZy5zZ9"
21,2018-10-28 03:58:29,1,0,Twitter for Android,124,0.0,"Congratulations to the Los Angeles beat, who get to ask Dave Roberts about Donald Trump tweeting about his managing strategy"
22,2018-10-28 03:58:29,1,0,Twitter for iPhone,105,0.0,Donald Trump should manage the Yankees and if you think otherwise you’re a dunce! https://t.co/qp1liHlOoV
23,2018-10-28 03:58:28,0,0,Twitter Web Client,277,-0.36,"Trump’s massive umbrella fail https://t.co/tYUOJ1LMDa via @PalmerReport

#TerroristPresident @realDonaldTrump has lost his mind completely and he belongs in an insane asylum and behind bars for his #MAGATerrorism.

#TrumpIsATerrorist #TrumpIsAMentalNuthead #TrumpIsMentallyGone"
24,2018-10-28 03:58:27,0,0,Twitter for iPhone,114,0.17500000000000002,the very first time in my whole life and the only time i will ever agree with donald trump https://t.co/4dcHRKc0Yt
25,2018-10-28 03:58:27,1,0,Twitter for Android,89,-0.3,"Dave Roberts has me agreeing with Donald fucking Trump. We truly are in dark, dark times."
26,2018-10-28 03:58:25,0,0,Twitter for iPhone,67,0.0,@designatedkyle @realDonaldTrump Socks in Friendswood Donald Trump.
27,2018-10-28 03:58:25,0,0,Twitter for iPhone,128,0.0,Fact check: Pittsburgh synagogue shooter Robert Bowers and his views toward Donald Trump - Palmer Report https://t.co/tbroL0nhM3
28,2018-10-28 03:58:24,0,0,WordPress.com,111,0.0,David Frum on why Republicans chose Trumpocracy over democracy  https://t.co/L5ZvXwqn1e https://t.co/WiN2TUNB1C
29,2018-10-28 03:58:21,0,0,Twitter Web Client,143,-0.7142857142857143,A BBC presenter pretended to be sick after recalling what Donald Trump once told her before an interview. https://t.co/gY6EmdGmXg via @HuffPost
30,2018-10-28 03:58:18,0,0,Twitter for iPhone,104,0.16,Report: The Phillies once scouted Donald Trump as a high school baseball player  https://t.co/7kikuVfA79
31,2018-10-28 03:58:15,0,0,Twitter for iPhone,148,-0.2,I am unnerved that Donald Trump just tweeted about the game I’m watching from the same account that he has an internet relationship with Kim Jong-Un
32,2018-10-28 03:58:14,0,0,Twitter for iPhone,223,0.125,@tribelaw Totally agree! Our GOP Congressmen/women have done NOTHING to make us think any of them@live in a higher plane than does donald trump. Those who do nothing to STOP the hatefulness are COMPLICIT in the hatefulness!
33,2018-10-28 03:58:09,0,0,Twitter Web Client,129,0.1595238095238095,Alt-right social media site Gab in meltdown mode after Pittsburgh shooting -- begs Donald Trump to 'ACT!' https://t.co/0lwJCdFZk4
34,2018-10-28 03:58:09,3,1,TrumpTweetWeather,247,0.13999999999999999,"@realdonaldtrump Current: Cloudy with regular tweets; 27% chance Donald Trump wrote this himself.

Tweet Forecast: Their thinking and made McCabe look like a baby and begged for his heroic act in saving so many illegal leaks coming out of control!"
35,2018-10-28 03:58:08,0,0,Twitter for iPhone,61,0.8,I am now a Donald trump fan lol #maga https://t.co/uyUGXk3Mty
36,2018-10-28 03:58:02,6,5,Hootsuite,130,0.1595238095238095,"Alt-right social media site Gab in meltdown mode after Pittsburgh shooting -- begs Donald Trump to 'ACT!'

https://t.co/C9iSjSVOuJ"
37,2018-10-28 03:58:02,0,1,Twitter for iPhone,66,0.0,Hasta Donald Trump critica a Dave Roberts. https://t.co/kyWQEm9DcW
38,2018-10-28 03:58:01,0,0,Twitter Web Client,198,0.0,"#maga #tcot #ccot #AmericaFirst #synagogueshootings @potus

Donald Trump jokes about his hair being ruined by having to answer questions in the rain about Pittsburgh shooting https://t.co/5eDp0Zdgks"
39,2018-10-28 03:58:00,0,0,Facebook,59,-0.6,You’ve got to be fucking kidding me https://t.co/hqoRzlAWal
40,2018-10-28 03:58:00,0,0,Twitter Web Client,129,0.1595238095238095,Alt-right social media site Gab in meltdown mode after Pittsburgh shooting -- begs Donald Trump to 'ACT!' https://t.co/aNDJgD8nHH
41,2018-10-28 03:57:59,0,0,Twitter Web Client,84,0.0,Barack Obama takes aim at Donald Trump for 'making stuff up' https://t.co/CL9jMqu0Fe
42,2018-10-28 03:57:59,0,0,Twitter for iPhone,158,0.5,"@ajhollywd Have you read this? Rebecca Solnit is always on point, but this is one of the most viscerally satisfying pieces of hers...

https://t.co/NdVpw0y18N"
43,2018-10-28 03:57:56,0,0,Twitter for Android,280,-0.2885416666666667,Donald Trump is talking about baseball yes I know they had this little competition going on but for Christ sake at what point can t separate himself from fiction to reality. It's just insulting. This fool can't even keep his story straight in half an hour. His name makes me vomit
44,2018-10-28 03:57:52,0,0,Facebook,81,-0.3,Trump warns of violence if GOP loses midterms - CNN Video https://t.co/QGvOjUa2i8
45,2018-10-28 03:57:52,1,0,Twitter for Android,292,-0.6333333333333333,🌎🌞🌟🌙🎓🚝🇺🇸🐘🐘🐘🐘🐘USA NIRANKARI NEWS..ARJUNASUBHASH NIRANKARI CHANDER TELLING USAMOTHERLAND PEOPLETHAT STUPID UNFAITHFUL PLAYS UNFAIRLY TRAITORS LIARS HATEFUL VENGEFUL USAPRESIDENT DONALD TRUMP'S ARE PUTTING DRAIN2NOTLIKED PEOPLETHAT'S ALL OF Y'ALL MAKESTRUMPS FEELSUPERIOR https://t.co/VeGpohL6Ph
46,2018-10-28 03:57:49,0,0,Twitter for iPhone,147,-0.012500000000000011,@realDonaldTrump For the first time since January 20th 2017 Liberal Los Angeles might hate someone more than Donald Trump.. https://t.co/6LGP1fUUg6
47,2018-10-28 03:57:43,0,0,Twitter for Android,203,-0.6749999999999999,"Just to recap how we got here (again), and how the ancient hate returned: Donald Trump suggests Jews are secretly committing anti-Semitic hate crimes on themselves so he looks bad https://t.co/OsMQiQ4ISL"
48,2018-10-28 03:57:43,6,6,Twitter for Android,172,0.0,@realDonaldTrump BREAKING: Authorities have intercepted a suspicious package addressed to Donald Trump containing a dictionary the US Constitution and Baseball for Dummies!
49,2018-10-28 03:57:41,0,0,Trumpet Bot,254,0.0,"...they then used to start an investigation into potential collusion between Donald Trump and the Russians - and here we are, a year and get no appreciation or respect. They don’t even want to negotiate a deal on North Korea are now all over the country!"
50,2018-10-28 03:57:40,0,0,Twitter for iPhone,147,-0.5,Barack Obama rips Donald Trump: 'It's wrong to spend all your time from a position of power vilifying people' - CNNPolitics https://t.co/PyEohNf6fB
51,2018-10-28 03:57:33,0,0,Twitter for iPhone,72,-0.8,@benmaller @realDonaldTrump Another reason to hate Donald Trump. #RedSox
52,2018-10-28 03:57:32,0,0,Twitter for iPhone,88,0.13636363636363635,is donald trump the new dodgers manager if they lose this series https://t.co/sPSm5Pdw6I
53,2018-10-28 03:57:29,0,0,Hootsuite Inc.,191,0.0,"How is it that people who actually murder, maim, and injure others are against patriotic Republicans and Donald Trump?

Trump At War - A Film by Stephen K. Bannon https://t.co/gSqTYrDzjk #G8M"
54,2018-10-28 03:57:28,0,0,Google,121,0.425,I liked a @YouTube video https://t.co/XZvtZZSubA Hanging Out with Donald Trump... (https://t.co/1rFxdXzI23 Funny Moments)
55,2018-10-28 03:57:23,18,6,GraphityCampaignNDTV,118,-0.15555555555555559,Donald Trump turns down India's invite to be chief guest at Republic Day celebrations: reports https://t.co/LEEhcluaY4
56,2018-10-28 03:57:15,0,0,Twitter for iPhone,46,0.0,"Me          Donald Trump
        🤝
     Sports"
57,2018-10-28 03:57:11,0,0,Twitter Lite,362,-0.15333333333333335,@bradheath @getongab @stripe @PayPal @joyent @realDonaldTrump @BradHeath The bean counters could censor the entire internet and I still would never read @USAToday. May get back into gardening. Social media and the media are both worthless. Unelected global governance will never be our credo and Donald Trump will still be your President. https://t.co/89WTbfFCVt
58,2018-10-28 03:57:10,1,0,Twitter for iPhone,109,0.09999999999999998,"HAHA when Donald Trump could’ve coached a better game, you know you need to be fired. https://t.co/63WgVadDKU"
59,2018-10-28 03:57:07,0,0,Twitter for iPhone,52,0.0,Donald Trump for MLB Manager https://t.co/jojJnhRf84
60,2018-10-28 03:57:07,0,0,Twitter for Android,256,0.25,"All these famous Americans moaning about Donald Trump, why don't you actually do something about it then? You have a voice that people will follow, start a rally, a protest, anything! Instead of just tweeting about it, and then maybe something will change."
61,2018-10-28 03:57:06,0,0,Twitter Web Client,342,-0.125,"@LisaM3732 @MickeyGillick4 @davidaxelrod @GOP @realDonaldTrump Fox News supports all conservatives and most Republicans. Damn few lefties. That's the way we like it. We'll see who ends up winners. Actually, CNN, MSNBC would fizzle and die without Donald Trump They gotta have somebody to hate or they have no Raison d'etre. I trust Trump, Fox"
62,2018-10-28 03:57:05,0,0,Twitter for iPhone,216,0.1025,@BDUTT Why was it leaked means? It is not a national secret. It is always known every year. Only thing is no foreign dignitary ever declines. Donald Trump is one of his own. Indian authorities should have been aware.
63,2018-10-28 03:57:04,5,1,Twitter for iPhone,79,0.0,BREAKING: Donald Trump to interview for Mets GM opening https://t.co/tGc3Wt6k75
64,2018-10-28 03:57:02,0,0,Twitter Web Client,69,0.0,maybe Donald Trump should buy the Yankees heh https://t.co/PPzdBjlkPe
65,2018-10-28 03:57:02,0,0,Twitter for Android,87,-0.2,Bruh. DONALD. TRUMP. Even he sees this shit I can't believe it. https://t.co/l7uAnbBgf5
66,2018-10-28 03:57:00,0,0,Twitter Web Client,202,-0.1875,"All you pollsters who are inordinately concerned with how much/little conservatives feel about the job Trump is doing, how about asking Pittsburgh voters what they think of this? https://t.co/QFvj29RZH7"
67,2018-10-28 03:56:58,0,0,Twitter for iPhone,196,-1.0,"@NancySinatra @MSNBC The hateful and divisive rhetoric of Donald Trump inspires these types of attacks... “Hating and cruel, you’re not my America!” https://t.co/kyr3jVNMBr https://t.co/xy1nH92cz1"
68,2018-10-28 03:56:55,0,0,Twitter for Android,289,-0.27708333333333335,"@JanelleCantre12 @foldberg1 @ewallace4854 @realDonaldTrump Seriously Janelle, what does Jesus have to do with Donald trump? You would really dishonor Jesus Christ by mentioning him in the same sentence as trump? God's going to be very disappointed in you! Maybe even not invite you at all!"
69,2018-10-28 03:56:55,0,0,Google,121,0.425,I liked a @YouTube video https://t.co/CJK5vggfGi Hanging Out with Donald Trump... (https://t.co/teWgCc6JJ3 Funny Moments)
