,timestamp,likes,retweets,source,length,tweet
0,2018-10-28 02:53:27,0,0,IFTTT,64,Ryan Seacrest Gives A Gift To Katy Perry https://t.co/Lptv8xwjos
1,2018-10-28 02:48:22,0,0,Twitter for iPhone,34,Joe Kelly Ryan Seacrest lookin ass
2,2018-10-28 02:27:50,0,0,Twitter Web Client,120,Ryan Seacrest &amp; Shayna Taylor Dress As Karl Lagerfeld &amp; Anna Wintour At ... https://t.co/Y0G5hhzaBv via @YouTube
3,2018-10-28 01:27:04,0,0,Twitter for Android,145,@TMZ Hey TMZ If something happens to Kendall are you to blame. You blame Trump for everything. I blame you and Ryan Seacrest for the Kardashians.
4,2018-10-28 01:18:05,0,0,iLead Tools,122,People - Ryan Seacrest: Harry Styles Dresses Up as Elton John-- https://t.co/H6vwVSLUsz #celebrity https://t.co/tCUCV1DRAv
5,2018-10-28 01:11:48,0,0,Twitter for iPhone,210,@kelios I'm excited to see Jared's appearance too. I was thinking maybe it's because Jensen and Ryan Seacrest lived together. They talked a lot about that on the episode. Please let us know when it's coming on!
6,2018-10-28 00:18:16,0,0,Twitter for iPhone,98,"Ryan Seacrest &amp; Kelly Ripa Have Outdone Themselves For Halloween 2018
 https://t.co/IpxliFjGAr"
7,2018-10-28 00:00:18,3,0,trueAnthem,99,Ryan Seacrest is moving his foundation to Tennessee https://t.co/SxzNCsJPgp https://t.co/YQ6Z8HkQPr
8,2018-10-27 23:06:51,1,0,Twitter Lite,134,@0kekeDee @tylerperry @nobodysfool @IamCrystalRenee Ikr sock game on point! Sweet! Meanwhile Ryan Seacrest hates wearing socks. Lol 🧦👞
9,2018-10-27 23:03:46,0,0,Facebook,54,hey run a soft check on Ryan Seacrest lol #remarks #nq
10,2018-10-27 22:28:33,0,0,sdjfklsfklasdkfjşk,100,"On occasion, when the night is at its blackness, the trees whisper lost secrets about Ryan Seacrest."
11,2018-10-27 21:37:36,0,0,Twitter for iPhone,69,@WendyMolyneux He keeps mentioning ‘results’ like he is Ryan Seacrest
12,2018-10-27 21:35:51,0,15,Twitter for iPhone,97,"RT @NileFM: #AT40 list for Today by Ryan Seacrest!
#1 @5SOS – #Youngblood https://t.co/od63LgOHcH"
13,2018-10-27 21:10:49,0,0,Twitter for Android,30,@TheSarcasmShow Ryan Seacrest?
14,2018-10-27 20:57:45,0,0,Facebook,78,Ryan Seacrest wearing in Halloween  Karl Lagerfield famous style . Incredible!
15,2018-10-27 20:36:37,0,0,Facebook,57,Ryan Seacrest as Punky Brewster😂! https://t.co/ZzYoFJ4Fru
16,2018-10-27 20:20:40,0,0,IFTTT,279,"Harry Styles Dresses Up as Elton John at Star-Studded Casamigos Halloween Party Halloween is still days away, but stars are getting an early start on their partying! Harry Styles, Paris Hilton, Nicky Hilton, Jenna Dewan, Ryan Seacrest, Cindy Crawford, Ka… https://t.co/FSnWYzyUVv"
17,2018-10-27 20:07:43,0,0,Twitter Web Client,151,Ryan Seacrest &amp; Shayna Taylor Dress As Karl Lagerfeld &amp; Anna Wintour At The 2018 Casamigos Halloween Party https://t.co/BOg1F06rT7 via @YouTube
18,2018-10-27 19:34:12,2,1,Twitter for iPhone,84,y’all ever sit and think about the time ryan seacrest tried to high five a blind man
19,2018-10-27 19:30:06,0,0,dlvr.it,132,Ryan Seacrest &amp; Girlfriend Shayna Taylor Dress as Karl Lagerfeld &amp; Anna Wintour for Halloween Party! https://t.co/0QhGrpYIRB
20,2018-10-27 18:54:18,0,1,Twitter for iPhone,148,RT @yuliaharpalanov: Ryan Seacrest &amp; Girlfriend Shayna Taylor Dress as Karl Lagerfeld &amp; Anna Wintour for Halloween Party! https://t.co/nkBX…
