,timestamp,likes,retweets,source,length,tweet
0,2018-10-28 05:14:28,0,5352,Twitter for Android,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
1,2018-10-28 05:14:26,0,452,Twitter for iPhone,105,RT @TSwift_Spotify: Taylor Swift is currently listening to “Kiss and Make Up” by Dua Lipa &amp; BLACKPINK
2,2018-10-28 05:14:21,0,0,Twitter for Android,113,I'm listening to Taylor Swift for some reason and it the country her playing tell me why I want to go hunting now
3,2018-10-28 05:14:16,0,0,Bromberries,124,Taylor Swift Once Tried to Cut Retta in the Bathroom Line at Golden Globes - https://t.co/3JBxKJlRa2 https://t.co/TE6EHFvh89
4,2018-10-28 05:14:01,0,165,Twitter for Android,139,"RT @TayIorVoteStats: ARIA’s STATS for Best International Artist 📈 

1. C.C.              : 238.1K (+59k)
2. Taylor Swift: 152.9K (+28k)
3.…"
5,2018-10-28 05:13:56,0,0,Google,131,I added a video to a @YouTube playlist https://t.co/uAcWuu05OV New Orleans Saintsations - 22 (Taylor Swift) [Original Video] (2013)
6,2018-10-28 05:13:51,0,2231,Twitter for Android,72,"RT @billboard: The story of Taylor Swift. 

#MVE https://t.co/iGRVcuJ5iU"
7,2018-10-28 05:13:45,0,713,Twitter for Android,95,"RT @gethawaycar: me: I don't like taylor swift's country music
also me: https://t.co/s75PdFgJ29"
8,2018-10-28 05:13:45,0,452,Twitter for iPhone,105,RT @TSwift_Spotify: Taylor Swift is currently listening to “Kiss and Make Up” by Dua Lipa &amp; BLACKPINK
9,2018-10-28 05:13:43,0,5352,Twitter for Android,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
10,2018-10-28 05:13:30,0,5352,Twitter for Android,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
11,2018-10-28 05:13:11,0,17,Twitter for Android,123,"RT @taytaeromantics: Taylor Swift looking so HD even in low quality wow 💅🏻
#ARIAs #ARIAsTaylorSwift https://t.co/6M1yeobGZY"
12,2018-10-28 05:13:10,0,5352,Twitter Web Client,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
13,2018-10-28 05:13:08,0,5352,Twitter for iPhone,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
14,2018-10-28 05:13:06,0,38,Twitter for Android,140,"RT @TSwiftFTC: 4 Years ago today, Taylor Swift's phenomenal and iconic ‘1989’ was released.

It is certified 9x PLATINUM, sold +10M worldwi…"
15,2018-10-28 05:13:02,0,5352,Twitter for iPhone,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
16,2018-10-28 05:12:59,1,0,Twitter for Android,242,"hey,
just dropping by here to say

I love Kim Namjoon
I love Kim Seokjin
I love Min Yoongi
I love Jung Hoseok
I love Park Jimin
I love Kim Taehyung
I love Jeon Jungkook
I love Taylor Swift

and you can not stop me :')

@BTS_twt @taylorswift13"
17,2018-10-28 05:12:54,0,6482,Twitter for iPhone,56,RT @swifthargitay: Taylor Swift. https://t.co/KvQHohbuuL
18,2018-10-28 05:12:51,0,13,Twitter for Android,119,"RT @slaylegend_13: Retweet if you stan:
● Taylor Swift
● Katy Perry 
● Lorde
● Selena Gomez
● Beyonce
#ARIAsTaylorSwift"
19,2018-10-28 05:12:50,0,5352,Twitter for iPhone,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
20,2018-10-28 05:12:48,0,5352,Twitter for iPhone,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
21,2018-10-28 05:12:46,0,5352,Twitter for iPhone,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
22,2018-10-28 05:12:44,0,5352,Twitter Web Client,139,"RT @ikpred: taylor swift’s eras be like:

 🤠       🤩      😈      💔       💇‍♀️     🐍
/🚜\    /🌟\    /🎸\    /🔴\    /🕊\   /🌈\
  | |        | |…"
