,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-28 05:14:21,0,0,Twitter for Android,113,0,I'm listening to Taylor Swift for some reason and it the country her playing tell me why I want to go hunting now
1,2018-10-28 05:14:16,0,0,Bromberries,124,1,Taylor Swift Once Tried to Cut Retta in the Bathroom Line at Golden Globes - https://t.co/3JBxKJlRa2 https://t.co/TE6EHFvh89
2,2018-10-28 05:13:56,0,0,Google,131,1,I added a video to a @YouTube playlist https://t.co/uAcWuu05OV New Orleans Saintsations - 22 (Taylor Swift) [Original Video] (2013)
3,2018-10-28 05:12:59,1,0,Twitter for Android,242,1,"hey,
just dropping by here to say

I love Kim Namjoon
I love Kim Seokjin
I love Min Yoongi
I love Jung Hoseok
I love Park Jimin
I love Kim Taehyung
I love Jeon Jungkook
I love Taylor Swift

and you can not stop me :')

@BTS_twt @taylorswift13"
4,2018-10-28 05:12:25,0,0,Twitter for iPhone,116,1,Taylor Swift’s music was better when you could believe her parents would actually get upset about who she was dating
5,2018-10-28 05:12:17,0,0,twittbot.net,141,0,"We are never ever ever... 

getting back together 

We are never ever ever... 

getting back together 
【Taylor Swift】 https://t.co/b8qoQqZLTj"
6,2018-10-28 05:12:02,0,0,Twitter for Android,314,-1,"@billpeduto #strongerthanhate
#4YearsOf1989
#reptoursydney
N🚫ne of @taylorswift13 songs are
about her exs she dated or
@josalwyn
2017 if u didnt see a picture of
it, it couldnt have happened right
$13000000.00 to ⚀ST PERSON
who can MATHEMATICALLY prove
me wrong
https://t.co/Iue6WsZZ5s
@CIA https://t.co/3Q026zfXNM"
7,2018-10-28 05:11:53,0,0,Twitter Web Client,48,1,Hi I really want a Taylor Swift inspired tattoo.
8,2018-10-28 05:11:44,0,0,Twitter for iPhone,132,1,This had to have been a dream come true for Taylor. How can it get any better than Friends and Taylor Swift? https://t.co/z32aO6DUSF
9,2018-10-28 05:11:32,0,0,twittbot.net,90,-1,"[PO s/d 15 Maret] Sweater Taylor Swift ""Polkadot Black"" Rp 160.000 https://t.co/ln3vg6Iugx"
10,2018-10-28 05:10:30,0,0,Twitter for Android,74,0,"NEVER FORGET...
1989 Taylor Swift ❤
#1989WorldTour https://t.co/TnX0C9dPoA"
11,2018-10-28 05:09:56,0,0,Twitter for iPhone,80,1,"“Everytime I don’t, I always do” - most relatable Taylor Swift lyric of all time"
12,2018-10-28 05:09:31,0,0,Twitter for iPhone,231,1,I was talking to this lady on the plane and she was like “I went to Melbourne for the Taylor swift concert and then three months ago she said she was going to Adelaide” and I second guessed my whole life and then I was like sis no.
13,2018-10-28 05:08:12,0,0,Twitter for iPhone,71,-1,I regret every single day not going to see Taylor Swift back in August😢
14,2018-10-28 05:07:48,1,0,Twitter for Android,67,1,"Good afternoon to dogs, and people who appreciate Taylor Swift only"
15,2018-10-28 05:06:04,1,0,Twitter for Android,114,0,"I got 13 out of 13! How do you measure up? https://t.co/VgvTFQGMu3 

@taylorswift13 @taylornation13
 #4YearsOf1989"
16,2018-10-28 05:05:54,1,0,Twitter for iPhone,103,1,I was singing along to 22 by Taylor Swift and Ashly said “you’re 30.  You old ass bitch” ...... :( damn
17,2018-10-28 05:05:49,0,0,Twitter for Android,46,0,Mine -taylor swift AAAAaaaaaaaaaaaaAaaaaA!!💛💛💛
18,2018-10-28 05:05:43,0,0,Google,115,1,I liked a @YouTube video https://t.co/oX7rI2UDp1 John Mayer PRAISES Ex-Girlfriend Taylor Swift's 'Reputation' Album
19,2018-10-28 05:05:28,2,0,Twitter for Android,48,0,Taylor Swift lockscreens https://t.co/tiBFIMt6GX
20,2018-10-28 05:05:20,0,0,Twitter for Android,135,1,"Retweet to vote for Taylor Swift for Best International Artist at the #ARIAs!
#ARIAsTaylorSwift 

#4YearsOf1989 https://t.co/FU5oJLVCyz"
21,2018-10-28 05:05:02,0,0,Twitter for Android,124,1,"An audio clip in my phone played, ""Hi baby! Huwag ka ng magalit. I love you!"", then All Too Well by Taylor Swift came after."
22,2018-10-28 05:04:48,1,0,Curious Cat,159,1,you had a panic attack at a Taylor Swift concert? LMFAO what s fucking loser good luck trying to get through life — thank you i need it https://t.co/WGgJqFcEwQ
23,2018-10-28 05:04:41,2,0,Twitter for iPhone,36,0,@balladofabby Sing some Taylor Swift
24,2018-10-28 05:04:16,0,0,Curious Cat,246,-1,I would fall in love with you while taylor swift was playing in the back so fast omg and just softly play with your hai… — stop this my heart cant fucking take this. i want this so fucking bad pLease can this happen please https://t.co/c3F3Qf0veC
25,2018-10-28 05:03:38,0,0,Twitter for iPhone,98,0,"taylor swift, fearless, speak now, red, 1989, reputation ? is that correct https://t.co/nOgnqW0rai"
26,2018-10-28 05:03:17,1,0,Twitter for iPhone,87,1,@wilIholdontoyou y-you convinced me to listen to taylor swift again I feel- so soft uwu
27,2018-10-28 05:03:01,0,2,Twitter for Android,119,1,"Retweet to vote for Taylor Swift for Best International Artist at the #ARIAs!
#ARIAsTaylorSwift https://t.co/RVykLzaOVS"
28,2018-10-28 05:01:22,0,0,Twitter for Android,30,0,Taylor Swift- Back To December
29,2018-10-28 05:01:21,0,0,Twitter for iPhone,64,-1,White House by Taylor Swift is my fav I blast it all day long -b
30,2018-10-28 05:01:01,0,0,Twitter for Android,46,1,Lorde is a better songwriter than Taylor Swift
