,timestamp,likes,retweets,source,length,tweet
0,2018-10-28 03:00:24,0,0,Facebook,113,"Lot 154
Toyota Rav4
Year:1997
Mileage:173848

Guide Price:#550,000
#Buy and sell cars at ease 
#Southwestauctions"
1,2018-10-28 02:59:26,0,0,Twitter for iPhone,54,@DrJohnAquino @Toyota That’d be A-ok in #NewZealand 👍🏻
2,2018-10-28 02:59:06,0,0,Twitter for Android,91,"Assoluto Racing :My Toyota SPRINTER TRUENO
GT-APEX (AE86) Initial D https://t.co/wWXYIJrv1M"
3,2018-10-28 02:57:13,0,0,Town Analyst,173,"Before buying a pre-owned Honda, Mazda, Nissan, Subaru,Toyota, Hyundai or Kia work up pricing at JustAutoValue. In 60 seconds. Free. No Registration. https://t.co/s5QXKeuL1c"
4,2018-10-28 02:57:13,0,0,Twitter for iPhone,198,"NHS Toyota Care 125 at Richmond Results 
1st 0 OPC Patriot
2nd 22 King Statix
3rd 36 DirectionalKick
4th 20 OPC Phoenix 
5th 35 Mafiiadakilla21 
6th 5 Thrasher21842
7th 19 TJR1850
8th 21 DaddyChaos9"
5,2018-10-28 02:57:05,0,0,dlvr.it,155,"Millican, Johnson Jr. lead qualifying heading into Sunday’s eliminations at Toyota NHRA Las Vegas Nationals https://t.co/InPaklpdUs https://t.co/l8dGzZkhMw"
6,2018-10-28 02:53:04,0,0,dlvr.it,155,"Millican, Johnson Jr. lead qualifying heading into Sunday’s eliminations at Toyota NHRA Las Vegas Nationals https://t.co/AneSPuQF5d https://t.co/GQ3dFj18Tr"
7,2018-10-28 02:51:42,0,0,Twitter for iPhone,145,"Missy: “it’s calling getting ahead in life”
“Oh somewhere you’ve never been?”
Missy: “excuse me, you’re talking to the owner of a toyota carolla”"
8,2018-10-28 02:51:16,0,0,Twitter for Android,64,When is unifor coming back to Toyota???? https://t.co/XizsZSTWSX
9,2018-10-28 02:51:14,0,0,Facebook,107,Live from Toyota music factory. Awaiting Maxwell. #thisisdallasjazz with the wifey. https://t.co/m2qxSwuLlY
10,2018-10-28 02:49:36,0,0,Google,92,"I liked a @YouTube video https://t.co/Kz7ygL4HY6 Who Makes the Best Engines, Toyota or Honda"
11,2018-10-28 02:47:50,0,0,Twitter for iPhone,88,"@emiliemover Toyota brought me your way, but I just listened to it and can’t get enough."
12,2018-10-28 02:46:37,0,0,Twitter for iPhone,173,"Night 2 of #OWO2018
Huge thank you to our sponsors for the Costume Contest prizes!! #SoSpooky @bongsandsuch @SP_Toyota @AtlasPizza1 #MaxwellDentalYYC https://t.co/5ug27RaF5T"
