,timestamp,likes,retweets,source,length,tweet
0,2018-10-28 04:49:27,0,9,Twitter for Android,140,"RT @mildredmud: @JuliaDavisNews Sounds just like Bannon, Stephen Miller, Roger Stone, Sean Hannity, Tucker Carlson, Jeanine Pirro, Trump an…"
1,2018-10-28 04:49:21,0,287,Twitter for iPhone,139,RT @oneunderscore__: Caravan rhetoric from the president and rightwing media has been pervasive. Tucker Carlson's show last night led with…
2,2018-10-28 04:49:18,0,1,Twitter for iPhone,95,RT @collincowart: one day i wanna drop kick tucker carlson deep into the pacific ocean. one day
3,2018-10-28 04:49:05,0,287,Twitter for Android,139,RT @oneunderscore__: Caravan rhetoric from the president and rightwing media has been pervasive. Tucker Carlson's show last night led with…
4,2018-10-28 04:48:45,0,47,Twitter for iPhone,144,"RT @marypatriott: @MichaelAvenatti @TuckerCarlson What a liar you are, Mr. Avenatti. I saw you on Tucker Carlson’s program &amp; you were frigh…"
5,2018-10-28 04:47:57,1,1,Twitter for iPhone,77,one day i wanna drop kick tucker carlson deep into the pacific ocean. one day
6,2018-10-28 04:47:56,0,3,Twitter for iPhone,140,RT @MightyQuinnUSA: @catnip55 @lenapple @TStaples66 @TuckerCarlson Watch the hate-mongering Carlson prove his utter hypocrisy and lack of d…
7,2018-10-28 04:47:06,0,47,Twitter for iPhone,140,"RT @stephphilip8: WHAT HAPPENED TO DEMOCRATS? THEY ONCE CARED ABOUT ORDINARY AMERICANS: TODAY, CITIZENS BE DAMNED. THE LEFT ONLY WANTS POWE…"
8,2018-10-28 04:47:03,0,47,Twitter for Android,144,"RT @marypatriott: @MichaelAvenatti @TuckerCarlson What a liar you are, Mr. Avenatti. I saw you on Tucker Carlson’s program &amp; you were frigh…"
9,2018-10-28 04:46:28,0,47,Twitter Web Client,140,"RT @stephphilip8: WHAT HAPPENED TO DEMOCRATS? THEY ONCE CARED ABOUT ORDINARY AMERICANS: TODAY, CITIZENS BE DAMNED. THE LEFT ONLY WANTS POWE…"
10,2018-10-28 04:46:10,0,287,Tweetbot for iΟS,139,RT @oneunderscore__: Caravan rhetoric from the president and rightwing media has been pervasive. Tucker Carlson's show last night led with…
11,2018-10-28 04:45:55,0,19,Twitter for iPhone,140,"RT @CasMudde: Lou Dobbs has been a trailblazer in terms of normalizing far right leaders, organization, policies and rhetoric on national t…"
12,2018-10-28 04:45:55,0,47,Twitter for iPhone,140,"RT @stephphilip8: WHAT HAPPENED TO DEMOCRATS? THEY ONCE CARED ABOUT ORDINARY AMERICANS: TODAY, CITIZENS BE DAMNED. THE LEFT ONLY WANTS POWE…"
