,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-28 04:47:57,1,1,Twitter for iPhone,77,0,one day i wanna drop kick tucker carlson deep into the pacific ocean. one day
1,2018-10-28 04:45:10,0,0,Google,121,0,"I added a video to a @YouTube playlist https://t.co/iA77jVQY8r Tucker Carlson Tonight – Friday, October 26 Fox News Video"
2,2018-10-28 04:45:10,0,0,Google,96,0,"Tucker Carlson Tonight – Friday, October 26 Fox News Video: https://t.co/iA77jVQY8r via @YouTube"
3,2018-10-28 04:41:38,0,0,Twitter for Android,291,-1,"@blackholetalos @Reuters @getongab BTW, one of the biggest promoters of #Gab is none other than Tucker ""Mr. Diversity Is Bad"" Carlson.

Tucker Carlson is currently one of the biggest heroes of the White Supremacist community. Besides the #SynogogueShooter of course.

https://t.co/XzW166n6Fm"
4,2018-10-28 04:36:23,0,0,Google,114,1,"I liked a @YouTube video https://t.co/2ZqDSQhPMr Tucker Carlson on the Republican Party, Trump, and Racism (Pt. 1)"
5,2018-10-28 04:36:08,0,0,Twitter for iPhone,124,-1,@TwitterSupport And yo people suspended my account for calling Tucker Carlson a Wus! This is absurd. https://t.co/UQNWWIqzwZ
6,2018-10-28 04:32:40,0,0,Twitter for iPhone,247,-1,"@TwitterSupport Well, you did not answer my appeal on my professional account. I called out the white nationalists and Tucker Carlson for hate speech. You told me I was being insensitive to white people, and that WUS was a mean word. I am waiting!"
7,2018-10-28 04:30:03,0,0,Twitter Lite,836,1,@ATerecki @MikeRegan2112 @BeverlyFolkers @DaniScotchIrish @DismukeScott @FactCheckU @robertbland14 @UnimpressedTX @WeStandWithEvan @egunlady @Las4Liberty @JosephMorgese1 @msgoddessrises @solomongrundy6 @sweetlyfeirce @Yakekoge @nocovfefehere @TxQuantum @BBackerman1 @MrsPerrin @Trenaway11 @wrightdjohn @TxsleuthUSA @deaconcruise @0516_864 @HSchouten @jeebling @kellyz713 @DaddyJim52 @jamescando @MarilynCapps @Texan_21C @just_old_joe @Emilinalala @JulieMendelsohn @lotsofuss @lilykins55 @BethDelBosque @JeffHarperArt @waconia3 @Darth_Spurious @icerinkmomma @Cathie_Lynn @JaybeeStewee @mregan1002 @CplSoletrain @suziferg0806 @ftknoxdrill @DonliskDon @COConstitution1 I was at the Cenk Uygur vs Tucker Carlson debate in Los Angeles and Tucker got the most applause. Saw so many Trump supporters Ove seen his support frowing along the way.
8,2018-10-28 04:29:41,0,0,Twitter for Android,91,0,"Tucker Carlson Takes on the Ruling Class in Our Exclusive Interview
https://t.co/np7eEYbIEI"
9,2018-10-28 04:26:34,0,0,Google,130,0,I added a video to a @YouTube playlist https://t.co/OJ44neND1S 'Is This The Future Of Democratic Party?'- Tucker Carlson REACTS To
10,2018-10-28 04:24:06,0,0,Crowdfire - Go Big,97,0,Tucker Carlson: Outrage Over Jamal Kashoggi's Murder Is A Political Stunt https://t.co/K2NO0wH53S
11,2018-10-28 04:22:57,0,0,Twitter for iPhone,210,1,"@HuffPost All you lefties should be enjoying Fox new!!! They have gone way Left... Shepard Smith is a liberal!!! The only news caster that are still republican are Sean Hanniety, Tucker Carlson, and Gutfeild..."
12,2018-10-28 04:21:18,0,0,Twitter for Android,306,1,@PatBenzaleski That is a 2017 article. Listen to what was said. Don't read someone else's opinion. Google &amp; Apple got rid of the app GAP because they said its not censored. The segment was about free speech &amp; Google &amp; Apple deciding who gets free speech. Tucker Carlson did not promote the site
13,2018-10-28 04:20:20,4,0,Twitter Web Client,210,0,"@celinedryan @getongab @DailyCaller If there's ONE website I trust for a balanced perspective about Gab, it's the billionaire-funded Tucker Carlson vehicle that has employed multiple white supremacists.
😃😃😃😃😃😃😃"
14,2018-10-28 04:18:38,0,0,Twitter Web Client,100,1,"Tucker Carlson on Fox News, Free Speech, and Revolution (Pt. 2) https://t.co/EHDMaB8hcu via @YouTube"
15,2018-10-28 04:13:07,0,0,Twitter Web Client,73,0,"Tucker Carlson Tonight April 5, 2018 https://t.co/mf48zcXChH via @YouTube"
16,2018-10-28 04:02:22,0,0,Twitter for Android,95,0,"Tucker Carlson: To The Democratic Party, Americans Are An Afterthought  https://t.co/Na7XRmY6H6"
17,2018-10-28 04:01:40,0,0,Twitter for iPad,103,-1,@TquanWrites @LCHWS @cable_kimbra @sahluwal @luvwinsresist She’ll be crying on the Tucker Carlson show.
18,2018-10-28 04:01:23,0,0,Google,114,1,"I liked a @YouTube video https://t.co/ApGhq6bvxO Tucker Carlson on the Republican Party, Trump, and Racism (Pt. 1)"
19,2018-10-28 04:01:21,2,1,Twitter for iPhone,191,-1,@MarkWerlein I just object to liars. Tucker Carlson had him on the show to debate and Avenatti wouldn’t. For him to say that Tucker won’t respond to his request to discuss is just a flat lie.
20,2018-10-28 04:00:21,1,0,Buffer,236,0,"Tucker Carlson wonders aloud why the country is so divided. Twitter hands him his ass 
#VOTE
#FactsMatter 
#EnoughIsEnough 
#VetsAgainstTrump 
#CountryBeforeParty 
https://t.co/LUBqEevPym

https://t.co/J8l7jM3bpk https://t.co/65dpc4gmSY"
21,2018-10-28 03:59:55,1,0,Twitter for iPhone,95,0,"Tucker Carlson: To The Democratic Party, Americans Are An Afterthought  https://t.co/uzqu2GxgeS"
22,2018-10-28 03:58:29,1,0,Twitter Lite,81,0,@sunny_hundal @peterjukes As have the likes of Gavin McInnes &amp; Tucker Carlson
23,2018-10-28 03:57:11,2,0,Twitter for Android,263,1,"@DavidAFrench Tucker Carlson pushing overt White Nationalism on the regular.  Inviting Ann Coulter on.  Lou Dobbs airing antisemitic conspiracy theories. Michelle Malkin writing on VDARE.  Your own Dinesh D'Souza.

This is cancer, David, and the cause is obvious."
24,2018-10-28 03:51:41,48,47,Twitter Web Client,280,-1,"WHAT HAPPENED TO DEMOCRATS? THEY ONCE CARED ABOUT ORDINARY AMERICANS: TODAY, CITIZENS BE DAMNED. THE LEFT ONLY WANTS POWER:
Tucker Carlson: ""That's why the Democratic Party suddenly supports open borders so fervently"" Why isn't GOP fighting harder on this?
https://t.co/Ygsh4fPvHV"
25,2018-10-28 03:46:35,0,1,Twitter for iPhone,303,1,"You work for a news organization that is a mouthpiece basically of white supremacy.....many people at Fox openly espouse racist and bigoted views...Tucker Carlson for ex and Oreilly before him 
You should totally be ashamed of yourself for not seeing how Fox is hurting d country https://t.co/lVYKzfOQDJ"
26,2018-10-28 03:46:23,1,1,Twitter Web Client,673,-1,"@Mamma_Janet @CitizenGayle @_edwardmondini_ @MaureenTice @WeidnerRoger @DxmJohansen @Soozy21mecom1 @cwilliams1113wy @RealTT2020 @TwitterSupport @Corp125Vet @heyitsmeCarolyn @LoriinUtah @Beg1Girl @RealErinCruz @jimlibertarian @Jamierodr10 @Boyd_2650 @DanCovfefe1 @HotShot_78 @HarrietNix @cy_frost @ginaisawakened @jewel_patriot @jdp021189 @3Conservative @WaydeDe @Adorable_Todd @realDonaldTrump They also have been attacking sponsors of foxnews to get rid of Hannity, Laura Ingraham, Tucker Carlson etc.  If they could shut down foxnews they would do it tomorrow.  This shows how badly they are attacking free speech and I think a new law should be made to require jail time"
27,2018-10-28 03:45:22,1,0,Twitter for Android,130,0,Tucker Carlson wonders aloud why the country is so divided. Twitter hands him his ass https://t.co/NtojPlxWz4 via @dailysoundnfury
28,2018-10-28 03:44:23,0,0,Twitter for iPhone,112,1,Tucker Carlson VS Cenk Uygur from the Young Turks Debate of the Century ... https://t.co/9w18t5AWou via @YouTube
29,2018-10-28 03:42:08,0,0,Google,129,1,I liked a @YouTube video https://t.co/yKYvEJK58L FULL Tucker Carlson vs. Cenk Uygur of Young Turks Debate - Politicon 2018! (BEST
30,2018-10-28 03:40:11,0,0,Twitter Web Client,300,1,"@EllisarAtranimu @Donkey_Brained Anyway, once again, NONE of this has to do with ""everyone else"". My comments were about Tucker Carlson and Tucker Carlson only. If you don't think he is an intentionally divisive prick, you are 100% incorrect. He fuels both pseudo and anti-intellectuals on the right."
31,2018-10-28 03:39:49,0,0,Twitter Web Client,109,0,Tucker Carlson wonders aloud why the country is so divided. Twitter hands him his ass https://t.co/yziZElRivM
32,2018-10-28 03:39:35,0,0,Twitter Web Client,165,1,"Tucker Carlson:

- pwns the neocons, epic-style
- calls out the Cathedral
- calls out CHINA
- calls out Silicon Valley

He's everything we couldve asked for and more"
33,2018-10-28 03:38:41,0,0,Twitter Web Client,171,1,"Tucker Carlson accuses Bill Kristol of being the ""ideological gatekeeper"" of the (old) Republican Party, doing his best to weed out Ron Paul and Pat Buchanan and the like."
34,2018-10-28 03:37:53,0,0,Twitter Lite,146,0,"@DavidAFrench @brithume @RichLowry @matthewjdowd You...haven't watched any Fox and Friends, Lou Dobbs, Hannity, Ingraham, Tucker Carlson have you?"
35,2018-10-28 03:35:44,0,0,Twitter Web Client,313,1,"@EllisarAtranimu @Donkey_Brained If you say so. I can't be bothered doing your research for you. To each side, it looks like this is what's happening. But when you play the ""identity politics"" game, everyone wants to win or lose, and that's the problem... people turned it into a sport. People like Tucker Carlson"
36,2018-10-28 03:35:17,0,0,Paletiks,117,-1,(Cenk Uygur to Tucker Carlson: What's Wrong With Multiculturalism?) - https://t.co/TMKVbSOtp9 https://t.co/VGcXbBfgQ2
