,timestamp,likes,retweets,source,length,tweet
0,2018-10-31 01:08:04,0,0,Twitter Web Client,115,"Pre-save my new single ""Lebron James (feat. Von Shway)"" on Spotify: https://t.co/z5Pnh1gx3I (powered by @distrokid)"
1,2018-10-31 01:08:03,0,9997,Twitter for Android,140,"RT @BleacherReport: Cavs since LeBron left:
❌ 0-6
❌ Last in the East
❌ Coach fired

Real Madrid since Ronaldo left:
❌ 4 wins in 10 league g…"
2,2018-10-31 01:08:03,2,1,Twitter Web Client,51,Al Horford is so much better than LeBron it's crazy
3,2018-10-31 01:08:03,0,5,Twitter for Android,140,"RT @SoleCollector: #SoleWatch: PJ Tucker deep in his bag with these @DianaTaurasi Nike LeBron 8 V/2 All-Star PEs. 

📸: Bill Baptist https:/…"
4,2018-10-31 01:08:01,1,0,Twitter for iPhone,93,I mean yeah but clearly he is aware of LeBron‘s hairline issues 🤷🏼‍♀️ https://t.co/C94Ldwiy12
5,2018-10-31 01:07:54,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
6,2018-10-31 01:07:50,0,0,Twitter for Android,48,Lol at DWade being a better shooter than LeBron.
7,2018-10-31 01:07:49,0,0,Twitter for iPhone,22,Lebron is not the GOAT
8,2018-10-31 01:07:49,0,78,Twitter for Android,140,"RT @bryanbehar: They told the Dixie Chicks to shut up and sing. They told LeBron James to shut up and dribble. 

I’m nobody. Especially com…"
9,2018-10-31 01:07:41,0,1,Twitter for Android,140,"RT @NBA_Buckets: Rockets score 36 points and are down 15 at half without JH
Last year people were trying to tell me Lebron should’ve won MV…"
10,2018-10-31 01:07:41,0,0,Twitter Lite,89,@Backtrack_Rewin Only people who do not know basketball would say Lebron would not fit in
11,2018-10-31 01:07:37,0,63,Twitter for iPhone,139,"RT @PETTYDevinBook: Happy 22nd Birthday to the young GOAT .@DevinBook!!!

- Youngest w/ 60 or 70 pt game in NBA hiatory (20 yrs, 145 days)…"
12,2018-10-31 01:07:35,0,78,Twitter for iPhone,140,"RT @bryanbehar: They told the Dixie Chicks to shut up and sing. They told LeBron James to shut up and dribble. 

I’m nobody. Especially com…"
13,2018-10-31 01:07:34,0,0,Twitter for iPhone,271,"@OLDBROOKLYNJIM @MikeDCtown @bigern245 This is thw dumbest fucking argument of all time.. there is 0 controversy around lebron, he stands up for social issues off and on the court, and is a pure winner.  One of the few athletes i hope my kids look up. Came from nothing.."
14,2018-10-31 01:07:32,0,769,Twitter for Android,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
15,2018-10-31 01:07:30,0,0,Google,122,I liked a @YouTube video https://t.co/6cJQqfAEvr LeBron James' patience hasn't run out ... yet - Rachel Nichols | The Jump
16,2018-10-31 01:07:29,0,181,Twitter for iPhone,144,"RT @Ballislife: Happy 22nd birthday to Devin Booker, the 4th youngest player in NBA history to score 3K PTS. The other 3: LeBron, KD &amp; Melo…"
17,2018-10-31 01:07:27,2,1,Twitter for iPhone,181,"Rockets score 36 points and are down 15 at half without JH
Last year people were trying to tell me Lebron should’ve won MVP because James Harden wasn’t that valuable to his team...."
18,2018-10-31 01:07:17,0,9997,Twitter for iPhone,140,"RT @BleacherReport: Cavs since LeBron left:
❌ 0-6
❌ Last in the East
❌ Coach fired

Real Madrid since Ronaldo left:
❌ 4 wins in 10 league g…"
19,2018-10-31 01:07:15,0,5,Twitter Lite,140,"RT @SoleCollector: #SoleWatch: PJ Tucker deep in his bag with these @DianaTaurasi Nike LeBron 8 V/2 All-Star PEs. 

📸: Bill Baptist https:/…"
20,2018-10-31 01:07:09,0,16,Twitter for iPhone,99,RT @LonzoBetter: I love Lebron but he’s lowkey a stat padder. His numbers never tell the full story
21,2018-10-31 01:07:09,0,5,Twitter for iPhone,140,"RT @SoleCollector: #SoleWatch: PJ Tucker deep in his bag with these @DianaTaurasi Nike LeBron 8 V/2 All-Star PEs. 

📸: Bill Baptist https:/…"
22,2018-10-31 01:07:08,0,3,Twitter for iPhone,128,"RT @Westgodpg13szn: Top 5 finals perfromances
1.16 LeBron
2. 93 Jordan
3.00 Shaq
4. Wade 06
5.  Duncan
Quote or reply with yours"
23,2018-10-31 01:07:06,0,0,Twitter for iPhone,51,"@WestBrookBurner @42TDs MJ
Wade 
LeBron 
Kobe
Kyrie"
24,2018-10-31 01:07:06,0,0,dlvr.it,146,#LeBronJames Firing Luke Walton would be a mistake for Lakers despite 2-5 start https://t.co/c8iBMz461q &lt;&lt; Info Here https://t.co/vqO9KSZQSG
25,2018-10-31 01:07:05,0,2850,Twitter for iPhone,140,"RT @BleacherReport: Devin Booker turns 22 today, and his trajectory is wild:

-Youngest to drop 70

-3rd-youngest ever to reach 4K points (…"
26,2018-10-31 01:07:02,0,0,Twitter for Android,253,"@jcayer954 @WillManso Manso is a good dude but you know you ain't gonna get the truth from him about the Miam i Heat lol
Spo is mediocre at best. The Godfather would have been undefeated with the Big 3s finals and probably LeBron would still be in Miami"
27,2018-10-31 01:07:00,0,0,Twitter for Android,114,So nobody's gonna bring up the fact that Lebron and His Coach was Drafted the same year? 👀 https://t.co/CjKh6Avz2I
28,2018-10-31 01:06:55,0,2850,Twitter for iPhone,140,"RT @BleacherReport: Devin Booker turns 22 today, and his trajectory is wild:

-Youngest to drop 70

-3rd-youngest ever to reach 4K points (…"
29,2018-10-31 01:06:50,0,2850,Twitter for iPhone,140,"RT @BleacherReport: Devin Booker turns 22 today, and his trajectory is wild:

-Youngest to drop 70

-3rd-youngest ever to reach 4K points (…"
30,2018-10-31 01:06:50,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
31,2018-10-31 01:06:48,0,47,Twitter for iPhone,114,RT @DaKidGowie: How LeBron James Felt While Watching The Michael Jordan Commercial. 😂🤦🏾‍♂️ https://t.co/umX38UuRbF
32,2018-10-31 01:06:47,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
33,2018-10-31 01:06:47,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
34,2018-10-31 01:06:44,0,5,Twitter for Android,140,"RT @SoleCollector: #SoleWatch: PJ Tucker deep in his bag with these @DianaTaurasi Nike LeBron 8 V/2 All-Star PEs. 

📸: Bill Baptist https:/…"
35,2018-10-31 01:06:42,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
36,2018-10-31 01:06:41,0,0,Twitter Lite,134,@ByTimReynolds @Anthony_Chiang Miami sports is difficult to cover this year...I guess we know what Cleveland feels like without Lebron
37,2018-10-31 01:06:39,0,287,Twitter for iPhone,65,RT @undisputed: But when LeBron leaves... https://t.co/uKLTH3PUbS
38,2018-10-31 01:06:38,0,0,Twitter for iPhone,76,Meek Mill-Traumatized https://t.co/GkKG8Yd4W3 via @YouTube #ambitiousreality
39,2018-10-31 01:06:37,0,14,Twitter for Android,140,RT @creativedribble: If Lebron James supports #BETO all the hoopers in our country should too‼️💥 #Basketball x #BETO https://t.co/O0dxFDXy5C
40,2018-10-31 01:06:36,0,216,Twitter for iPhone,130,"RT @CollinSimon9: You’ve got Lebron, Travis Scott, AND ELLEN SUPPORTING YOU?! I swear to god he better win https://t.co/Cccj4EfNyX"
41,2018-10-31 01:06:35,0,216,Twitter for iPhone,130,"RT @CollinSimon9: You’ve got Lebron, Travis Scott, AND ELLEN SUPPORTING YOU?! I swear to god he better win https://t.co/Cccj4EfNyX"
42,2018-10-31 01:06:34,0,462,Twitter for iPhone,113,RT @Y2Dre___: Demar Derozan adjusting to the Western Conference better than Lebron James. https://t.co/ICoG8pvmEN
43,2018-10-31 01:06:34,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
44,2018-10-31 01:06:31,0,0,Twitter Lite,69,Lebron teaches how to praxis tokens correctly https://t.co/7ztiHz44WS
45,2018-10-31 01:06:30,0,41,Twitter for Android,140,RT @AE_Hutchinson: Laker fans being shocked LeBron doesn’t show effort defensively says a lot about how much basketball they actually watch.
46,2018-10-31 01:06:28,0,769,Twitter for iPhone,119,"RT @TheHoopHistory: Lamar Odom with the infamous shammgod with LeBron and T-Mac in attendance. 
https://t.co/pCtp5ny8IR"
47,2018-10-31 01:06:28,1,0,Twitter for iPhone,68,@Nader_Gatorr @Kdot_8 Lebron and Kyrie type shit but with volleyball
48,2018-10-31 01:06:27,0,34,Twitter for Android,140,"RT @SLAMKicks: .@taureanprince wearing the mismatched ""Equality"" LeBron 15s tonight in Cleveland in honor of LeBron James. https://t.co/ERt…"
49,2018-10-31 01:06:23,0,2850,Twitter for Android,140,"RT @BleacherReport: Devin Booker turns 22 today, and his trajectory is wild:

-Youngest to drop 70

-3rd-youngest ever to reach 4K points (…"
