,timestamp,likes,retweets,source,length,sentiment,tweet
0,2018-10-31 01:08:04,0,0,Twitter Web Client,115,1,"Pre-save my new single ""Lebron James (feat. Von Shway)"" on Spotify: https://t.co/z5Pnh1gx3I (powered by @distrokid)"
1,2018-10-31 01:08:03,2,1,Twitter Web Client,51,-1,Al Horford is so much better than LeBron it's crazy
2,2018-10-31 01:08:01,1,0,Twitter for iPhone,93,-1,I mean yeah but clearly he is aware of LeBron‘s hairline issues 🤷🏼‍♀️ https://t.co/C94Ldwiy12
3,2018-10-31 01:07:50,0,0,Twitter for Android,48,1,Lol at DWade being a better shooter than LeBron.
4,2018-10-31 01:07:49,0,0,Twitter for iPhone,22,0,Lebron is not the GOAT
5,2018-10-31 01:07:41,0,0,Twitter Lite,89,-1,@Backtrack_Rewin Only people who do not know basketball would say Lebron would not fit in
6,2018-10-31 01:07:34,0,0,Twitter for iPhone,271,-1,"@OLDBROOKLYNJIM @MikeDCtown @bigern245 This is thw dumbest fucking argument of all time.. there is 0 controversy around lebron, he stands up for social issues off and on the court, and is a pure winner.  One of the few athletes i hope my kids look up. Came from nothing.."
7,2018-10-31 01:07:30,0,0,Google,122,1,I liked a @YouTube video https://t.co/6cJQqfAEvr LeBron James' patience hasn't run out ... yet - Rachel Nichols | The Jump
8,2018-10-31 01:07:27,2,1,Twitter for iPhone,181,-1,"Rockets score 36 points and are down 15 at half without JH
Last year people were trying to tell me Lebron should’ve won MVP because James Harden wasn’t that valuable to his team...."
9,2018-10-31 01:07:06,0,0,Twitter for iPhone,51,0,"@WestBrookBurner @42TDs MJ
Wade 
LeBron 
Kobe
Kyrie"
10,2018-10-31 01:07:06,0,0,dlvr.it,146,0,#LeBronJames Firing Luke Walton would be a mistake for Lakers despite 2-5 start https://t.co/c8iBMz461q &lt;&lt; Info Here https://t.co/vqO9KSZQSG
11,2018-10-31 01:07:02,0,0,Twitter for Android,253,1,"@jcayer954 @WillManso Manso is a good dude but you know you ain't gonna get the truth from him about the Miam i Heat lol
Spo is mediocre at best. The Godfather would have been undefeated with the Big 3s finals and probably LeBron would still be in Miami"
12,2018-10-31 01:07:00,0,0,Twitter for Android,114,0,So nobody's gonna bring up the fact that Lebron and His Coach was Drafted the same year? 👀 https://t.co/CjKh6Avz2I
13,2018-10-31 01:06:41,0,0,Twitter Lite,134,-1,@ByTimReynolds @Anthony_Chiang Miami sports is difficult to cover this year...I guess we know what Cleveland feels like without Lebron
14,2018-10-31 01:06:38,0,0,Twitter for iPhone,76,0,Meek Mill-Traumatized https://t.co/GkKG8Yd4W3 via @YouTube #ambitiousreality
15,2018-10-31 01:06:31,0,0,Twitter Lite,69,0,Lebron teaches how to praxis tokens correctly https://t.co/7ztiHz44WS
16,2018-10-31 01:06:28,1,0,Twitter for iPhone,68,-1,@Nader_Gatorr @Kdot_8 Lebron and Kyrie type shit but with volleyball
17,2018-10-31 01:06:13,0,0,Twitter for Android,118,1,@AllHailMikey Hell nah lol its a 20 win team without lebron all yall did was add 2 shaqtin a fool niggas and rondo lol
18,2018-10-31 01:05:56,0,0,Echofon,55,0,"@datobinario Wall, DeRozan, Lebron, Davis, Drummond (?)"
19,2018-10-31 01:05:47,0,0,Twitter for iPhone,49,0,The Thunder are making Galinarri look like Lebron
20,2018-10-31 01:05:39,1,0,Twitter for iPhone,89,1,@dbeeze_ @LaurenRMurphey It was more of an attempt than Lebron on the defensive end haha.
21,2018-10-31 01:05:18,0,0,Twitter for Android,137,0,@undisputed Jordan is GOAT no doubt...  but Lebron is diff maker..  both times he left the cavs they turned into GARBAGE like overnight..
22,2018-10-31 01:05:18,0,0,Twitter for Android,57,0,"Just like Barak Obama, LeBron James sees the big picture."
23,2018-10-31 01:05:14,0,0,Twitter for iPhone,73,1,"KD- plays to wins
LeBron/Westbrook- Play for stats
Kobe- Plays for bricks"
24,2018-10-31 01:05:13,18,5,Twitter for iPhone,136,0,"#SoleWatch: PJ Tucker deep in his bag with these @DianaTaurasi Nike LeBron 8 V/2 All-Star PEs. 

📸: Bill Baptist https://t.co/ZCxGua12Z8"
25,2018-10-31 01:05:12,0,0,Twitter for iPhone,209,1,Lakers should’ve gotten another star to pair with lebron. These young kids they have are good but not that good like the organization and fans was saying. None of them has all star potential as if this moment.
26,2018-10-31 01:05:07,0,0,Twitter for iPhone,60,0,Lebron fucced up after they split up https://t.co/mHKDNwFuBF
27,2018-10-31 01:05:03,0,0,Twitter for iPhone,57,0,@NBCSPhilly @NoahLevick Just like the Sixers and Lebron 🙄
28,2018-10-31 01:04:27,0,0,Twitter for iPhone,54,0,@donlemon Lebron putting any white kids in classrooms?
29,2018-10-31 01:04:13,0,0,Twitter for iPhone,191,1,"@RealSkipBayless If he’s the lebron of football then he’s the best player in the NFL, which is not true. You can’t continue to be this biased against a player. @RealSkipBayless @ShannonSharpe"
30,2018-10-31 01:04:00,0,0,Twitter for iPhone,81,1,They gotta add Lebron when he first took the headband off https://t.co/pe7zW7krfH
31,2018-10-31 01:03:52,1,1,Echobox Social,95,0,LeBron warns mates: ‘Don’t be around when my patience runs out’ | @AFP  https://t.co/qt4mWImbYX
32,2018-10-31 01:03:51,0,0,Twitter for Android,86,0,@StoolGreenie You think Kyrie cut his hair just to show Lebron he still has a hairline
33,2018-10-31 01:03:50,0,0,Twitter for Android,108,1,@_RomanBatista So? And Andre igoudala won finals MVP does that make him better than LeBron? Lmao great logic
34,2018-10-31 01:03:27,0,0,Twitter for iPhone,122,0,@kdp__ @KingJames I brought Lebron up because there are several players on Jordans level and that's just another example..
35,2018-10-31 01:03:21,2,0,Twitter for iPhone,269,1,"*Alas, I switched up on this nigga like Lebron and the Lakers constantly.* 

GET HIM, RIGHT HAND! 

*I summon my stand, 「 MEATO BUSTA 」, and pound away with speeds never before seen as a Cheshire grin became of my features ( Shoutout to Gay-K )* https://t.co/iVyyo1vDxe"
36,2018-10-31 01:03:16,1,0,TweetDeck,242,1,"@TIOBIPod @corbinasmith @mikelikessports Should drop tomorrow morning if you want to hear me holler about the Red Sox, Fallout: New Vegas, the Hall of Fame and the Lebron Lakers, of which I have always been the most faithful and foremost fan."
