,timestamp,tweet
0,2018-10-27 04:18:12,Cesar Sayoc Jr: Suspect arrested in Florida over mail-bomb campaign reportedly identified https://t.co/j0QlghnJQs https://t.co/iHFqzGPWAP
1,2018-10-27 04:18:06,@RaymondArroyo @IngrahamAngle @FoxNews Stop lying about who is behind the mail pipe bombs #MAGABomber #TrumpViolence #GOPLies https://t.co/C6zlBTMWtg
2,2018-10-27 04:18:06,Cesar Sayoc’s Facebook feed seemed like a case study in online radicalization–or satire https://t.co/5zl2PnUfTQ https://t.co/9Zr8bkhWMK
3,2018-10-27 04:18:04,Cesar Sayoc’s Facebook feed seemed like a case study in online radicalization–or satire https://t.co/WeRTGYUZMk https://t.co/LDfiBfirwc
4,2018-10-27 04:18:04,"""Trump’s party is a petri dish for diseased minds."" https://t.co/M9GPAMC1yJ via @intelligencer"
5,2018-10-27 04:18:04,"Cesar Sayoc claims to be affiliated with Seminoles, but tribe disavows any connection - Miami Herald https://t.co/wcCPiOdeHB"
6,2018-10-27 04:18:02,"Twitter account linked to Cesar Sayoc made death threats, and Twitter declined to suspend him. https://t.co/fblrcui1wf"
7,2018-10-27 04:17:58,"Cesar Sayoc’s Home Was Foreclosed on by Steve Mnuchin’s Bank, Using Dodgy Paperwork
https://t.co/01Jjp9ELi5
via PdP"
8,2018-10-27 04:17:56,If a Hillary supporter did what Cesar Sayoc did Trump supporters would be calling for a public hanging.
9,2018-10-27 04:17:52,"There's no way Cesar Sayoc pulled this hoax off by himself. After hearing details about his past and political views. The more this smells like ""Democrat stunt. 

#DemocratsAreEvil 

Democrats tried to pull off another
blame President Trump game. 

#VoteRedToSaveAmerica"
10,2018-10-27 04:17:51,"@stephenfhayes @EggerTWS UPDATE: There was a 2002 arrest affidavit related to Cesar Sayoc making bomb threats 16 YEARS AGO

He called the FPL and said it would be ""worse than September 11""

So he made terroristic threats 16 YEARS AGO yet registered to vote and was NOT on a terror watch list?

#FalseFlag https://t.co/Zsslot5yXc"
11,2018-10-27 04:17:45,"""Fox News spent several hours Friday afternoon ... to obscure or ignore relevant and obvious information about Sayoc’s professed beliefs and possible intentions""

https://t.co/tViQZoq68m"
12,2018-10-27 04:17:43,"So #MAGABomber Cesar Altieri Sayoc is a half-Filipino, half-Italian, anti-immigration white supremacist who falsely claimed for years that he was a Seminole Native American? Only in America. 🤣"
13,2018-10-27 04:17:42,"Why did the useless waste of skin  Robert De Niro get on Bomber Cesar Sayoc’s hit list? 
#trump #maga #kag #gop #potus #seanhannity #tuckercarlsontonight #dems #ingrahamangle #wattersworld #resist #realdonaldtrump"
14,2018-10-27 04:17:36,"@KBlasney @JoeNBC @FBI please look into this user, this ‘person’ supports the domestic terrorist Cesar Sayoc."
15,2018-10-27 04:17:36,"Crazy bomber Cesar Sayoc would have to have made a whole lot more of his little toys to actually make a difference in our current toxic political climate.
#trump #maga #kag #gop #potus #seanhannity #tuckercarlsontonight #dems #ingrahamangle #wattersworld #resist #realdonaldtrump"
