,timestamp,likes,retweets,source,length,tweet
0,2018-10-27 23:55:21,0,1287,Twitter Web Client,140,"RT @sahilkapur: THIS WEEK

—Bombs intercepted
—Suspect arrested
—Conspiracy theories
—NYT/Trump iPhone
—Early voting
—Grassley/Avenatti
—Mu…"
1,2018-10-27 23:55:20,0,0,Real Specific,113,Several insiders told The New York Times that the president is well aware of this habit's https://t.co/rKqHhbes76
2,2018-10-27 23:55:19,0,40,Twitter for iPhone,140,"RT @HuffPost: The president could do something about Chinese and Russian spies listening to his phone calls, but he doesn't. https://t.co/q…"
3,2018-10-27 23:55:15,0,24363,Twitter for iPhone,140,"RT @CBSEveningNews: ""They didn't care about [Hillary Clinton's] emails. And you know how you know? Because if they did, they'd be up in arm…"
4,2018-10-27 23:55:14,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
5,2018-10-27 23:55:14,0,0,Instagram,201,"If you don’t know this dude, get to know this dude!! His art is great and he’s good people!! @skatchfacefoo 
#skatephotography #overrocker #warehouse #pkny #iphone #iphone8plus… https://t.co/Hw7PEtYYZo"
6,2018-10-27 23:55:14,0,0,Twitter for iPhone,66,@happynewsforu *reads your tweet from my iphone XS Max and laughs*
7,2018-10-27 23:55:13,0,11,Twitter Lite,72,RT @langdonseb: does anyone else’s iphone battery literally fucking suck
8,2018-10-27 23:55:13,1,1,Twitter for iPhone,64,Rams win and so does the iPhone X camera https://t.co/4XTq1H1iuU
9,2018-10-27 23:55:12,0,0,WordPress.com,80,"Apple iPhone 5, GSM Unlocked, 16GB – Black (Refurbished) https://t.co/1CXi2TPric"
10,2018-10-27 23:55:12,0,24363,Twitter for iPhone,140,"RT @CBSEveningNews: ""They didn't care about [Hillary Clinton's] emails. And you know how you know? Because if they did, they'd be up in arm…"
11,2018-10-27 23:55:11,0,13635,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
12,2018-10-27 23:55:10,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
13,2018-10-27 23:55:10,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
14,2018-10-27 23:55:10,0,1287,Twitter for iPhone,140,"RT @sahilkapur: THIS WEEK

—Bombs intercepted
—Suspect arrested
—Conspiracy theories
—NYT/Trump iPhone
—Early voting
—Grassley/Avenatti
—Mu…"
15,2018-10-27 23:55:09,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
16,2018-10-27 23:55:08,0,0,Twitter for iPhone,52,Yes I had the iPhone 5C in white the rumors are true
17,2018-10-27 23:55:07,0,1287,Twitter for iPad,140,"RT @sahilkapur: THIS WEEK

—Bombs intercepted
—Suspect arrested
—Conspiracy theories
—NYT/Trump iPhone
—Early voting
—Grassley/Avenatti
—Mu…"
18,2018-10-27 23:55:06,0,35243,Twitter for iPhone,140,RT @umcornell: this was recorded on Jay-Z’s iPhone. no amped mic and no reverb. JUST Beyoncé.. this is why she’s still relevant this far in…
19,2018-10-27 23:55:06,0,0,Twitter for Android,69,"Meet the new generation of iPhone: iPhone 420, iPhone h, iPhone h Max"
20,2018-10-27 23:55:05,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
21,2018-10-27 23:55:04,0,0,Hootsuite Inc.,299,"Take 76% Off the new iPhone XR Crystal Clear Case ONLY $3.30! BUY NOW https://t.co/N04KJS3EEf Flexible, durable soft TPU and a hard PC back panel is scratch-resistant and offers a good grip while protecting your #iPhoneXR #iPhone #Apple #deal #discount #sale #stockingstuffer https://t.co/tpOiueYjlS"
22,2018-10-27 23:55:04,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
23,2018-10-27 23:55:03,0,24363,Twitter for iPhone,140,"RT @CBSEveningNews: ""They didn't care about [Hillary Clinton's] emails. And you know how you know? Because if they did, they'd be up in arm…"
24,2018-10-27 23:55:03,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
25,2018-10-27 23:55:02,1,0,Twitter for iPhone,41,Shot on iPhone Xr https://t.co/I0geiPrGHK
26,2018-10-27 23:55:02,0,980,Twitter for iPhone,118,RT @Apple: iPhone XR. You’ve never seen anything like the all-new Liquid Retina display. It’s brilliant. In every way.
27,2018-10-27 23:55:01,0,522,Twitter for iPhone,57,RT @PAWSAofficial: that iphone radar alam is pure anxiety
28,2018-10-27 23:55:00,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
29,2018-10-27 23:54:59,0,24363,Twitter for iPhone,140,"RT @CBSEveningNews: ""They didn't care about [Hillary Clinton's] emails. And you know how you know? Because if they did, they'd be up in arm…"
30,2018-10-27 23:54:59,0,24363,Twitter for iPhone,140,"RT @CBSEveningNews: ""They didn't care about [Hillary Clinton's] emails. And you know how you know? Because if they did, they'd be up in arm…"
31,2018-10-27 23:54:58,0,0,Twitter for iPhone,206,Fuck you bitch ass nigga for saying my iPhone 6s Plus old af you think you the shit huh fuck you I will crush you I will end you I will eradicate you and your whole family I love me I love my iPhone 6s Plus
32,2018-10-27 23:54:57,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
33,2018-10-27 23:54:55,0,2296,Twitter Lite,140,"RT @KThomasDC: Obama: ""In the last election, it was Hillary's emails. 'This is terrible' ... They didn't care about emails + you know how y…"
34,2018-10-27 23:54:53,0,0,Twitter for iPhone,146,@LadyLovesTaft Spader is still a dishy thing. And if my iPhone autocorrects “dishy” to fishy” one more time we’re gonna have to have a wee chat. 🤨
35,2018-10-27 23:54:52,0,40,Twitter for iPhone,140,"RT @HuffPost: The president could do something about Chinese and Russian spies listening to his phone calls, but he doesn't. https://t.co/q…"
36,2018-10-27 23:54:52,0,12,Twitter for Android,140,"RT @leeunkrich: Why am I only just now realizing there’s an emoji that looks like Miguel? #PixarCoco

👦🏻

(Does that emoji only look like M…"
37,2018-10-27 23:54:51,0,6,Twitter for Android,140,RT @cultofmac: ICYMI: We’ve got serious iPhone XR envy! [Cult of Mac Magazine] https://t.co/xfdVJjaKxA by @lewiswallace https://t.co/tvqR8z…
38,2018-10-27 23:54:51,0,13640,Twitter for iPhone,144,"RT @kberg323: Whoever broke into my car managed to miss a whole ass iPhone 6, a speaker &amp; professional camera but instead decided to take a…"
39,2018-10-27 23:54:50,0,24363,Twitter for iPhone,140,"RT @CBSEveningNews: ""They didn't care about [Hillary Clinton's] emails. And you know how you know? Because if they did, they'd be up in arm…"
40,2018-10-27 23:54:50,0,9197,Twitter for iPhone,140,"RT @kylegriffin1: Obama: ""They didn't care about [Hillary's] emails. And you know how you know? Because if they did, they'd be up in arms r…"
41,2018-10-27 23:54:50,0,193,Twitter for Android,140,"RT @thehill: Obama: If Republicans really cared about Clinton's emails they would be ""up in arms"" over Trump's iPhone https://t.co/613GaRO3…"
