,timestamp,likes,retweets,source,length,tweet
0,2018-10-27 22:56:15,0,0,Twitter for iPhone,135,As a dead person I feel offended that #strictly2018 are culturally appropriating my dead identity using a Mexican Day of The Dead theme
1,2018-10-27 22:56:12,0,0,Twitter for Android,280,"I Am, not Jewish, black, Brown, Native, Mexican, Central American, Muslim, in debt, gay, political, female, violent etc. I am extremely  White, with a grass cutting  profession and a son I love. For those like me, count your blessings. Every human should be able to feel this way."
2,2018-10-27 22:55:49,1,0,Twitter for iPhone,73,Mexican food on #SaturdayNight out with my hubby! https://t.co/NBgNGwlv9K
3,2018-10-27 22:55:42,0,0,Google,98,Ich mag das @YouTube-Video: https://t.co/cIYUq4TV51 2018 Mexican Grand Prix: Qualifying Highlights
4,2018-10-27 22:55:42,0,0,Twitter for iPhone,172,@marklevinshow I say put the wall around California as well. Leave the southern portion of California open to Mexico. Give California back to the Mexican Cartel Government.
5,2018-10-27 22:55:41,0,0,Twitter for iPhone,201,Caught On Video: Mexican Police Stop Buses And Trucks – Force Them To Take Caravan Immigrants North To US . Since Mexico wants to help the Immigrants. There is no reason for Mexico to remain on the Map
6,2018-10-27 22:55:31,0,0,Twitter for Android,99,@xFeliciaDarkx BUT YOU CAN BLEND WITH THE OTHER CACTI in front of most Mexican neighbors' yards 😂😂😂
7,2018-10-27 22:55:13,0,0,Twitter Web Client,83,Join us on World Vegan Day November 1st from 6-8pm at Mexican Radio in Schenectady!
8,2018-10-27 22:55:09,0,0,Twitter Web Client,307,"Some simply excused-like gun running to Mexican cartels, like having an illegal server transmitting &amp; sharing Classified email, like taking money from foreign concerns, like GRAFT(It ISN'T ""pay for play""-legal name is GRAFT, like false accusations to SPY on Citizen's campaign... https://t.co/78LEHCbml7"
9,2018-10-27 22:54:40,0,0,Twitter for Android,33,@calmencitaa Crying in mexican :(
10,2018-10-27 22:54:13,0,0,Twitter Web Client,97,"Migrant caravan, rejecting Mexican offers, continues drive north https://t.co/vRBjBdCfbV #FoxNews"
11,2018-10-27 22:54:12,0,0,Twitter for iPhone,21,I want Mexican food 😫
