,timestamp,tweet
0,2018-10-27 21:55:50,"people who say their vote doesnt matter are the people that dont vote in local and midterm elections, where ur vote matters the most"
1,2018-10-27 21:55:46,Midterm Exams https://t.co/Qp2DPQG0yc
2,2018-10-27 21:55:30,@BetteMidler America is in trouble make sure the Russians don't steal the midterm elections.
3,2018-10-27 21:55:26,"Folks, the midterm elections are just 10 days away. That means if you’re going to quit America, you’ve got to put in your notice now. Otherwise, you have to stay here, and you have to vote. No excuses."
4,2018-10-27 21:55:22,Offshore drilling and climate change have become flashpoints in a midterm race in deep red South Carolina https://t.co/EjPwPCoUj2 https://t.co/EjeUrsqM7E
5,2018-10-27 21:55:19,MIDTERM ANALYSIS: The Logic Gap Between Polling &amp; Reality https://t.co/8etkjjMf0u via @BigLeaguePol
6,2018-10-27 21:55:02,Racist demagoguery isn't a Trump-specific problem. It's long been embraced by the GOP and the conservative movement. || via HuffPostPol https://t.co/ajEkyuNbIP
7,2018-10-27 21:54:36,@Lissetteisfetch Daniel Gonzalez @ VC for political science i took POLS VO1 for “American Government” and all we do is talk about current events he’s funny super chill not boring no hw one midterm &amp; we had one big group paper (30pgs) count as our final+paper grade. got an A in the class
8,2018-10-27 21:54:30,my cat back home has a broken jaw and is on pain meds and ur telling me I have to stay at school and study for this midterm while the loml is suffering???
9,2018-10-27 21:54:30,"@TXsecofstate @VoteTexas How many votes got changed due to outdated equipment that is known to be an issue? What are you doing about it? 
https://t.co/WeGcDEzDiF"
10,2018-10-27 21:54:19,"Deroy Murdock: This may be the midterm elections' biggest secret

https://t.co/vl5okRJcIf

Shared from my Google feed"
11,2018-10-27 21:54:15,"""... But what’s already clear is that it occurred at a moment of tragic division and conspiracy-mongering generated, foremost and daily, by the President of the United States.""
 https://t.co/Bhby3xLTzw"
12,2018-10-27 21:54:01,"Midterm elections, social media and hacking: What you need to know https://t.co/otdFH6uFNg"
13,2018-10-27 21:53:51,Trump's midterm campaign strategy may be exactly what Republicans need to hold Congress https://t.co/xfue90AIHH #FoxNews
14,2018-10-27 21:53:29,Republicans Are Already Blaming Trump For Midterm Losses https://t.co/x2SWaqpDPv #BlueWave
15,2018-10-27 21:53:14,"Yup, early voted in the 2018 Midterm election, and voted straight blue ticket! https://t.co/SL0jAhJlb1"
16,2018-10-27 21:53:02,The Midterm Elections Are a Referendum on Donald Trump  https://t.co/EO6O1ty2a9
17,2018-10-27 21:52:59,my english teacher is so rude for giving us 3 essays to do over the midterm... the audacity
18,2018-10-27 21:52:50,"Every red vote cast this midterm is a vote against my youngest. My beautiful baby who will never be erased.

THIS IS MY CHILD AND XE WILL NOT BE ERASED!

#translivesmatter #NovemberIsComing #VoteBlue"
19,2018-10-27 21:52:25,This may be the midterm elections' biggest secret...Republicans will let you keep your healthcare and oh by the way make it better too.
20,2018-10-27 21:52:00,"Deroy Murdock: This may be the midterm elections' biggest secret

https://t.co/v9VHqxKd7p
This is a must read for everyone, Dems, Ind &amp; Republicans"
21,2018-10-27 21:51:51,"bravo, Mexico! Thank you for your humanity where America has failed. (and thank you for removing bloviating trump's midterm talking points) https://t.co/tdfqigGYF2"
22,2018-10-27 21:51:29,And contrary to popular misbelief there are a few Republican and Independent women on this list. #TheChisholmList  https://t.co/C6W5m7x4oi
23,2018-10-27 21:51:13,@Mohdbinhafez1 It’s not Stevens midterm :) ha ell3na on Monday and wed :):):):)
24,2018-10-27 21:50:42,"@sydneycarton67 All of it just before the midterm elections. Yeah, not suspicious at all."
25,2018-10-27 21:50:37,Hoping for a Midterm Split Decision by ROSS DOUTHAT https://t.co/N7P8X4bSXd https://t.co/lUmSnHReLA
26,2018-10-27 21:50:22,"Joe Donnelly is widely viewed as the most vulnerable Democrats in the 2018 midterm elections. Can you chip in and help us hold Indiana for the people, not the powerful? We cannot afford to lose a single seat. I’ll match the next $1,000 in donations #INSen https://t.co/xelNfMcJ7P"
27,2018-10-27 21:50:20,"Deroy Murdock: This may be the midterm elections' biggest secret

https://t.co/Lx8fkLEBRW"
28,2018-10-27 21:50:12,"#politics #government Pipe bombs threaten to derail GOP midterm messaging: A string of pipe bombs mailed to prominent Democrats has thrown a late curveball into the midterm elections, putting the country on edge and providing plent https://t.co/e155b5Y5xx https://t.co/IVKtg43K6t"
29,2018-10-27 21:50:03,@realDonaldTrump Very sad Mr. President innocent very Godly Jewish better send one officer in each synagogue to protect them. God people America belong to almighty God in Jesus name. DS NDP Antichrist Socialist Snakes hate Jedus. So midterm big win for Jesus my brothers sisters in Jesus. LoveLove
30,2018-10-27 21:50:00,"Guess what? The majority of Nebraska voters support #Medicaid expansion, a key measure on their midterm ballot. https://t.co/GqkMPOfYwm"
31,2018-10-27 21:49:56,no FG - studies for midterms - gets 85% on calc 2 midterm. Fair trade my good friend 💪🏽🤩
32,2018-10-27 21:49:17,@boomottawa @davenelsononair Kim from Vernon here having a wild time studying for my psych midterm now that I finished my environmental citizenship paper. Love the wild weekends of a middle age @AlgonquinColleg student!
33,2018-10-27 21:49:05,Some Texans claim voting machines are switching their votes. Officials say it’s ‘human error.’ - Midterm Elections https://t.co/JHgFbq03Gr
34,2018-10-27 21:49:05,Michelle Obama wants you to start a voting squad to ensure turnout in the midterm elections. https://t.co/8a44x3NZV6 via @HuffPostPol
35,2018-10-27 21:48:52,Racist demagoguery isn’t a Trump-specific problem. It’s long been embraced by the GOP and the conservative movement. https://t.co/q8gURexqjS via @HuffPostPol
36,2018-10-27 21:48:31,"Midterm Massacre in three days!
I’m giving out tootsie pops to anyone who says hi. I’m giving the rest of what’s pictured to @yungblud if i get the chance to. I’ll also give away the black and white drawing to anyone who wants it who’s also going to the show. just let me know. 🖤 https://t.co/2p4RlbmnCH"
37,2018-10-27 21:48:30,"The reality. Trump bullshit &amp; lies
Trump told these workers 'don't sell your house'. They say he hasn't kept his jobs promise https://t.co/uiQat9vkCo via @ABCNews"
38,2018-10-27 21:48:26,"The market sell-off is extremely amplified by the upcoming midterm (out of fear and intentionally). The outcome of the election can be catastrophic for the stock market rally. But when the dust settles, this was just another correction and just another great buying opportunity🧐"
39,2018-10-27 21:48:19,@A_Jackson28 did I just finish a 90 minute midterm in 45 minutes? U fuck ur ass I did
40,2018-10-27 21:48:17,#Trump takes on Big Pharma to lower cost of medications and then promises all #Republicans will ensure that pre-existing illnesses WILL be covered https://t.co/nZ3Cq7yug7
41,2018-10-27 21:47:59,"Tried to encourage someone who scored less than me on the midterm with ""it gets easier, maybe i'm further along"" &amp; then realized they have prof. Dev xp and I don't. Mumbling vague platitudes. Awkw..."
42,2018-10-27 21:47:53,Racist demagoguery isn’t a Trump-specific problem. It’s long been embraced by the GOP and the conservative movement. https://t.co/JD71bLPGxh via @HuffPostPol
43,2018-10-27 21:47:50,"Poll: Two-Thirds Of Voters Say Trump Is A Factor For Them In The 2018 Midterm Elections
A similar 2014 poll found that most voters said they didn’t consider President Obama a factor during that year’s midterms. https://t.co/qH0TNZlvd9 via @HuffPostPol"
44,2018-10-27 21:47:50,i’m failing tomorrow’s midterm i can feel it in my bones
45,2018-10-27 21:47:35,@EricBoehlert Hashtag not just winning but completely destroying the left on a daily basis. And Trump hasn't even enjoyed his first midterm election.
46,2018-10-27 21:47:29,"DACA Illegal Alien: Latinos Must Stop Trump in Midterm Elections, Vote for ‘Our Values and Needs’
https://t.co/maubPftck7"
47,2018-10-27 21:47:22,"Me watching the midterm elections knowing I’m on leave the next day, stay up as late I as want inshallah https://t.co/UOUepRpRMU"
48,2018-10-27 21:47:04,"On her upcoming new record release:

 It's a “well-manicured middle finger to the 45th president of the United States.”
-- Barbra Streisand, exactly what's wrong with America today.
https://t.co/9g1OahKvLM
#WalkAwayMarch https://t.co/Uh0yDJ2EId"
49,2018-10-27 21:47:02,"@DailyCaller Dems' disastrous political stunt b4 midterm
#Kavanaugh
#Caravan
#MailBombs
#GunControl
?
?"
50,2018-10-27 21:46:50,"Shooter Opens Fire at Pittsburgh Jewish Synagogue, 11 Confirmed Dead  ** Democrats hard at work leading up 2 the midterm elections. They’re terribly nervous 2 go 2 the lengths they’re going. Please people use common sense, Dems r leading u astray! https://t.co/GJTPuJ2ZL6"
51,2018-10-27 21:46:50,Kellyanne Conway is under investigation for violating federal law again—this time relating to the midterm elections https://t.co/KHgVhrUq7o
52,2018-10-27 21:46:42,Falcon staff are great role models for the importance of making your vote count! Hope ALL registered voters in Huffman ISD take time to vote this midterm! https://t.co/B1dUc121Ss
53,2018-10-27 21:46:38,LeBron James encourages fans to vote in midterm elections https://t.co/ISm0sMYO2Z via @lebron_wire
