,timestamp,likes,retweets,source,length,tweet
0,2018-10-28 02:14:05,0,0,Twitter for iPhone,102,Puig just got an RBI for each time his house was broken into this season #RedSox #Dodgers #WorldSeries
1,2018-10-28 02:14:05,0,0,Twitter for iPhone,74,"Puig and Machado are the biggest douchebags in baseball, along with Harper"
2,2018-10-28 02:14:05,0,0,Twitter for iPhone,33,Puig hits one deep into the night
3,2018-10-28 02:14:05,0,1,Twitter for iPhone,87,RT @MichaelSaenz23: THATS WHY HES MY FAVORITE PLAYER. DONT EVER DISRESPECT YASIEL PUIG!
4,2018-10-28 02:14:05,0,0,Twitter for iPhone,40,"Okay Puig nvm, do whatever you want.. 😍😍"
5,2018-10-28 02:14:05,0,0,Twitter for iPhone,25,"Yasiel Puig, what a BEAST"
6,2018-10-28 02:14:05,0,1,Twitter for iPhone,58,RT @fatimabedier: YES BABY PUIG I LOVE YOU AHAHAH #Dodgers
7,2018-10-28 02:14:05,0,0,Twitter for iPhone,19,Puig right on time!
8,2018-10-28 02:14:05,0,23,Twitter for iPhone,100,RT @Buster_ESPN: And Puig clubs a three-run homer; Eduardo Rodriguez throws his glove to the ground.
9,2018-10-28 02:14:05,0,0,Twitter for iPhone,26,Puig demolished that ball.
10,2018-10-28 02:14:05,0,0,Twitter for iPhone,22,"Puig, you piss me off."
11,2018-10-28 02:14:05,0,0,Twitter for iPhone,27,PUIG you monster!! Let’s GO
12,2018-10-28 02:14:05,0,0,Facebook,33,"PUIG YOURE A KILLER!!!!

#Dodgers"
13,2018-10-28 02:14:05,0,0,Twitter for iPhone,19,Puig too much sauce
14,2018-10-28 02:14:05,0,0,Twitter for iPhone,58,Puig with the missile lets goooooooo!!!!!!!! #LADetermined
15,2018-10-28 02:14:05,0,0,Twitter for iPhone,61,Puig is a douche but damn is he clutch. Wowzers! #WorldSeries
16,2018-10-28 02:14:05,0,23,Twitter Web Client,100,RT @Buster_ESPN: And Puig clubs a three-run homer; Eduardo Rodriguez throws his glove to the ground.
17,2018-10-28 02:14:05,0,0,Twitter for iPhone,16,PUIG YOUR FRIEND
18,2018-10-28 02:14:05,0,1,Twitter for Android,71,RT @megrowler: Puig Your Look We Are Going The FUCK Home On Time Friend
19,2018-10-28 02:14:05,0,0,Tweetbot for iΟS,31,"Yasiel Puig, you get my respect"
20,2018-10-28 02:14:05,0,0,Twitter for iPhone,15,Puig my friend!
21,2018-10-28 02:14:05,0,0,Twitter Web Client,86,Doesn't matter. Because friggin Puig just hit a home run in the very next at bat. sigh
22,2018-10-28 02:14:05,0,6,Twitter for iPhone,64,RT @BSO: Puig is the lance Stephenson of baseball and I love it.
23,2018-10-28 02:14:05,0,0,Twitter for Android,16,PUIG YOUR FRIEND
24,2018-10-28 02:14:05,0,0,Twitter for iPhone,28,YASIEL PUIG WORLD SERIES MVP
25,2018-10-28 02:14:05,1,1,Twitter Web Client,113,"When Puig feels good at the plate he has a hard time hiding it. 3R HR DEEP into the seats in LF. Dodgers 4-0, B6."
26,2018-10-28 02:14:05,0,146,Twitter for Android,103,RT @DodgersNation: YASIEL PUIG SAYS GOOD BYE BALL . . . .  4-0 DODGERS LEAD!!!! https://t.co/KPJXD5cyBt
27,2018-10-28 02:14:05,0,0,Twitter for iPhone,49,THE DODGERS MAKE ME HAPPY AND SO DOES YASIEL PUIG
28,2018-10-28 02:14:05,1,0,Twitter for iPhone,32,Puig is insane! Whattaaaa DAWG 🐶
29,2018-10-28 02:14:05,0,0,Twitter for Android,100,"SMOLTZ: ""Cora sticks with his guy because he is DEALING""

3 seconds later: Puig hits ball into orbit"
30,2018-10-28 02:14:05,0,0,Twitter for iPhone,82,I love how Rodriguez just threw his glove off after Puig hit the HR 😂 #WorldSeries
31,2018-10-28 02:14:05,0,0,Twitter for Android,18,PUIG! WHAT A SHOT!
